"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Time (h)","Q ds1 [EG14_002]","Q ds2 [EG14_002]","Q ds3 [EG14_002]","Q ds4 [EG14_002]","Q ds5 [EG14_002]","Q ds_weir [EG14_002]","Q FC01.01 [EG14_002]","Q FC01.02 [EG14_002]","Q FC01.03 [EG14_002]","Q FC01.04 [EG14_002]","Q FC01.05 [EG14_002]","Q FC01.06 [EG14_002]","Q FC01.07 [EG14_002]","Q FC01.08 [EG14_002]","Q FC01.09 [EG14_002]","Q FC01.12 [EG14_002]","Q FC01.13 [EG14_002]","Q FC01.14 [EG14_002]","Q FC01.15 [EG14_002]","Q FC01.16 [EG14_002]","Q FC01.17 [EG14_002]","Q FC01.18 [EG14_002]","Q FC01.19 [EG14_002]","Q FC01.1_R [EG14_002]","Q FC01.20 [EG14_002]","Q FC01.21 [EG14_002]","Q FC01.22 [EG14_002]","Q FC01.23 [EG14_002]","Q FC01.24 [EG14_002]","Q FC01.25 [EG14_002]","Q FC01.26 [EG14_002]","Q FC01.27 [EG14_002]","Q FC01.28A [EG14_002]","Q FC01.28B [EG14_002]","Q FC01.29 [EG14_002]","Q FC01.2_R [EG14_002]","Q FC01.30 [EG14_002]","Q FC01.31 [EG14_002]","Q FC01.32 [EG14_002]","Q FC01.33 [EG14_002]","Q FC01.34 [EG14_002]","Q FC01.36 [EG14_002]","Q FC01.37 [EG14_002]","Q FC01.38 [EG14_002]","Q FC01.39 [EG14_002]","Q FC01.40 [EG14_002]","Q FC02.01 [EG14_002]","Q FC02.02 [EG14_002]","Q FC02.03 [EG14_002]","Q FC02.04 [EG14_002]","Q FC02.05 [EG14_002]","Q FC02.06 [EG14_002]","Q FC_weir1 [EG14_002]","Q RD_weir [EG14_002]"
      11,          0.166667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.003,           0.020,           0.065,           0.184,           0.371,           0.526,           0.656,           0.779,           0.853,           0.695,           0.759,           0.785,           1.029,           1.431,           1.759,           2.040,           2.786,           2.307,           2.568,           2.863,           2.892,           2.758,           2.806,           2.991,           3.038,           3.050,           3.148,           3.242,           0.950,           3.292,           3.290,           3.220,           0.000,           2.942,           1.986,           1.262,           0.593,           0.000,           0.000,           0.243,           0.375,           0.198,           0.000,          -0.038,           0.195,           3.063,           0.000
      12,          0.183333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.021,           0.065,           0.129,           0.281,           0.496,           0.679,           0.831,           0.978,           1.068,           0.974,           1.127,           1.216,           1.548,           2.033,           2.438,           2.787,           2.977,           3.147,           3.534,           3.924,           3.988,           3.827,           3.768,           3.782,           3.725,           3.649,           3.634,           3.629,           1.162,           3.611,           3.558,           3.457,           0.000,           3.146,           2.143,           1.374,           0.653,           0.000,           0.000,           0.232,           0.333,           0.211,           0.000,          -0.039,           0.202,           3.287,           0.000
      13,          0.200000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.007,           0.083,           0.146,           0.230,           0.405,           0.652,           0.869,           1.049,           1.245,           1.437,           1.426,           1.665,           1.817,           2.239,           2.831,           3.301,           3.699,           3.140,           4.119,           4.472,           4.804,           4.835,           4.496,           4.378,           4.306,           4.194,           4.072,           3.997,           3.935,           1.495,           3.870,           3.781,           3.656,           0.000,           3.319,           2.279,           1.473,           0.707,           0.000,           0.000,           0.324,           0.332,           0.217,           0.000,          -0.041,           0.208,           3.475,           0.000
      14,          0.216667,           0.004,           0.000,           0.000,           0.000,           0.000,           0.000,           0.040,           0.182,           0.275,           0.375,           0.563,           0.860,           1.137,           1.371,           1.673,           2.051,           2.093,           2.410,           2.615,           3.094,           3.714,           4.162,           4.530,           3.286,           4.927,           5.194,           5.428,           5.412,           4.954,           4.805,           4.689,           4.546,           4.397,           4.285,           4.186,           2.050,           4.089,           3.974,           3.831,           0.000,           3.474,           2.399,           1.559,           0.754,           0.000,           0.000,           0.395,           0.352,           0.219,           0.000,          -0.045,           0.213,           3.640,           0.000
      15,          0.233333,           0.046,           0.002,           0.000,           0.000,           0.000,           0.000,           0.144,           0.308,           0.445,           0.573,           0.793,           1.188,           1.582,           1.916,           2.371,           2.906,           2.976,           3.318,           3.523,           3.968,           4.515,           4.883,           5.174,           3.419,           5.499,           5.706,           5.876,           5.829,           5.302,           5.136,           4.992,           4.829,           4.661,           4.526,           4.401,           2.833,           4.281,           4.147,           3.991,           0.000,           3.615,           2.507,           1.636,           0.795,           0.000,           0.000,           0.438,           0.366,           0.221,           0.000,          -0.048,           0.219,           3.792,           0.000
      16,          0.250000,           0.153,           0.030,           0.001,           0.000,           0.000,           0.000,           0.324,           0.515,           0.685,           0.873,           1.174,           1.734,           2.285,           2.746,           3.354,           3.906,           3.961,           4.246,           4.400,           4.754,           5.188,           5.465,           5.675,           3.542,           5.918,           6.086,           6.218,           6.153,           5.587,           5.408,           5.246,           5.069,           4.888,           4.735,           4.592,           3.838,           4.455,           4.305,           4.137,           0.000,           3.745,           2.605,           1.704,           0.832,           0.000,           0.000,           0.463,           0.377,           0.225,           0.000,          -0.048,           0.224,           3.930,           0.000
      17,          0.266667,           0.346,           0.174,           0.011,           0.000,           0.000,           0.000,           0.624,           0.877,           1.105,           1.376,           1.798,           2.533,           3.210,           3.766,           4.454,           4.875,           4.904,           5.094,           5.184,           5.440,           5.763,           5.959,           6.096,           3.640,           6.265,           6.396,           6.493,           6.412,           5.824,           5.638,           5.463,           5.275,           5.085,           4.917,           4.760,           4.862,           4.607,           4.443,           4.261,           0.000,           3.852,           2.687,           1.764,           0.864,           0.000,           0.000,           0.476,           0.382,           0.226,           0.000,          -0.041,           0.228,           4.049,           0.000
      18,          0.283333,           0.743,           0.485,           0.101,           0.002,           0.000,           0.000,           1.145,           1.485,           1.788,           2.149,           2.649,           3.455,           4.166,           4.747,           5.458,           5.731,           5.728,           5.836,           5.868,           6.036,           6.264,           6.391,           6.468,           3.719,           6.574,           6.664,           6.725,           6.628,           6.025,           5.833,           5.647,           5.450,           5.251,           5.071,           4.898,           5.753,           4.729,           4.551,           4.359,           0.000,           3.935,           2.755,           1.814,           0.893,           0.000,           0.000,           0.486,           0.384,           0.226,           0.000,          -0.037,           0.230,           4.141,           0.000
      19,          0.300000,           1.470,           0.943,           0.392,           0.020,           0.000,           0.000,           1.940,           2.332,           2.679,           3.096,           3.595,           4.369,           5.050,           5.606,           6.305,           6.459,           6.414,           6.481,           6.463,           6.558,           6.709,           6.778,           6.804,           3.786,           6.856,           6.907,           6.931,           6.818,           6.193,           5.996,           5.800,           5.595,           5.388,           5.197,           5.011,           6.539,           4.829,           4.640,           4.439,           0.000,           4.006,           2.811,           1.855,           0.916,           0.000,           0.000,           0.498,           0.388,           0.227,           0.000,          -0.044,           0.232,           4.218,           0.000
      20,          0.316667,           2.465,           1.716,           0.815,           0.106,           0.003,           0.000,           2.915,           3.300,           3.640,           4.054,           4.520,           5.217,           5.827,           6.327,           6.977,           7.059,           6.977,           7.035,           6.980,           7.019,           7.105,           7.125,           7.107,           3.844,           7.114,           7.126,           7.116,           6.987,           6.334,           6.132,           5.927,           5.716,           5.502,           5.302,           5.107,           7.177,           4.914,           4.717,           4.509,           0.000,           4.068,           2.859,           1.890,           0.935,           0.000,           0.000,           0.516,           0.395,           0.228,           0.000,          -0.053,           0.234,           4.284,           0.000
      21,          0.333333,           3.525,           2.825,           1.489,           0.313,           0.020,           0.000,           3.935,           4.275,           4.576,           4.948,           5.360,           5.966,           6.496,           6.933,           7.527,           7.572,           7.465,           7.509,           7.425,           7.419,           7.454,           7.432,           7.379,           3.896,           7.347,           7.325,           7.283,           7.139,           6.453,           6.245,           6.035,           5.818,           5.599,           5.392,           5.189,           7.701,           4.990,           4.785,           4.572,           0.000,           4.123,           2.901,           1.920,           0.952,           0.000,           0.000,           0.536,           0.403,           0.229,           0.000,          -0.048,           0.236,           4.343,           0.000
      22,          0.350000,           4.539,           3.999,           2.561,           0.663,           0.094,           0.000,           4.885,           5.174,           5.428,           5.746,           6.104,           6.627,           7.086,           7.464,           7.993,           8.019,           7.892,           7.912,           7.806,           7.764,           7.756,           7.701,           7.618,           3.932,           7.552,           7.497,           7.427,           7.269,           6.551,           6.340,           6.124,           5.903,           5.681,           5.468,           5.258,           8.136,           5.051,           4.839,           4.620,           0.000,           4.163,           2.933,           1.945,           0.965,           0.000,           0.000,           0.558,           0.410,           0.229,           0.000,          -0.044,           0.237,           4.389,           0.000
      23,          0.366667,           5.450,           5.004,           3.913,           1.311,           0.342,           0.000,           5.733,           5.971,           6.181,           6.444,           6.749,           7.204,           7.597,           7.920,           8.400,           8.411,           8.269,           8.252,           8.127,           8.057,           8.012,           7.928,           7.820,           3.956,           7.727,           7.644,           7.547,           7.377,           6.630,           6.415,           6.195,           5.970,           5.745,           5.526,           5.310,           8.540,           5.094,           4.874,           4.650,           0.000,           4.189,           2.956,           1.963,           0.976,           0.000,           0.000,           0.577,           0.418,           0.230,           0.000,          -0.053,           0.237,           4.418,           0.000
      24,          0.383333,           6.234,           5.843,           5.148,           2.290,           0.818,           0.000,           6.468,           6.666,           6.838,           7.057,           7.319,           7.718,           8.055,           8.332,           8.759,           8.748,           8.592,           8.543,           8.401,           8.303,           8.227,           8.118,           7.989,           3.973,           7.874,           7.766,           7.647,           7.467,           6.691,           6.472,           6.248,           6.020,           5.792,           5.568,           5.346,           8.884,           5.124,           4.899,           4.672,           0.000,           4.207,           2.972,           1.976,           0.984,           0.000,           0.000,           0.596,           0.425,           0.230,           0.000,          -0.050,           0.237,           4.438,           0.000
      25,          0.400000,           6.905,           6.575,           6.020,           3.486,           1.530,           0.000,           7.100,           7.266,           7.409,           7.592,           7.817,           8.160,           8.455,           8.693,           9.069,           9.028,           8.868,           8.790,           8.633,           8.512,           8.408,           8.279,           8.132,           3.985,           7.995,           7.866,           7.727,           7.538,           6.735,           6.514,           6.286,           6.056,           5.825,           5.597,           5.371,           9.178,           5.145,           4.917,           4.686,           0.000,           4.219,           2.983,           1.985,           0.990,           0.000,           0.000,           0.613,           0.432,           0.231,           0.000,          -0.047,           0.237,           4.452,           0.000
      26,          0.416667,           7.478,           7.214,           6.617,           4.664,           2.661,           0.000,           7.637,           7.774,           7.891,           8.041,           8.231,           8.539,           8.793,           8.997,           9.325,           9.269,           9.099,           9.000,           8.828,           8.686,           8.560,           8.411,           8.249,           3.992,           8.095,           7.947,           7.791,           7.593,           6.767,           6.543,           6.313,           6.081,           5.848,           5.618,           5.389,           9.422,           5.160,           4.930,           4.698,           0.000,           4.228,           2.990,           1.991,           0.994,           0.000,           0.000,           0.629,           0.438,           0.232,           0.000,          -0.053,           0.237,           4.462,           0.000
      27,          0.433333,           7.956,           7.747,           7.149,           5.618,           4.263,           0.000,           8.087,           8.209,           8.306,           8.431,           8.597,           8.862,           9.075,           9.243,           9.519,           9.433,           9.241,           9.159,           8.985,           8.831,           8.686,           8.521,           8.346,           4.000,           8.176,           8.012,           7.843,           7.638,           6.791,           6.564,           6.333,           6.099,           5.866,           5.633,           5.402,           9.601,           5.171,           4.940,           4.707,           0.000,           4.236,           2.997,           1.995,           0.997,           0.000,           0.000,           0.641,           0.444,           0.232,           0.000,          -0.047,           0.237,           4.471,           0.000
      28,          0.450000,           8.363,           8.188,           7.649,           6.283,           6.039,           0.000,           8.472,           8.578,           8.660,           8.764,           8.903,           9.122,           9.298,           9.437,           9.679,           9.597,           9.400,           9.294,           9.111,           8.945,           8.785,           8.607,           8.422,           4.008,           8.243,           8.066,           7.884,           7.674,           6.809,           6.581,           6.348,           6.114,           5.879,           5.645,           5.414,           9.757,           5.183,           4.950,           4.716,           0.000,           4.244,           3.003,           2.000,           0.999,           0.000,           0.000,           0.655,           0.450,           0.233,           0.000,          -0.054,           0.237,           4.480,           0.000
      29,          0.466667,           8.705,           8.557,           8.082,           6.732,           7.044,           0.391,           8.796,           8.890,           8.961,           9.050,           9.172,           9.364,           9.515,           9.637,           9.849,           9.749,           9.545,           9.410,           9.217,           9.040,           8.868,           8.680,           8.485,           4.015,           8.296,           8.111,           7.919,           7.704,           6.825,           6.595,           6.361,           6.127,           5.892,           5.658,           5.425,           9.923,           5.192,           4.959,           4.724,           0.000,           4.252,           3.009,           2.004,           1.002,           0.000,           0.000,           0.665,           0.454,           0.234,           0.000,          -0.050,           0.237,           4.488,           0.000
      30,          0.483333,           9.001,           8.872,           8.441,           7.110,           7.437,           0.394,           9.079,           9.167,           9.227,           9.303,           9.410,           9.575,           9.707,           9.813,          10.001,           9.880,           9.667,           9.509,           9.307,           9.119,           8.936,           8.741,           8.539,           4.022,           8.341,           8.147,           7.948,           7.730,           6.840,           6.608,           6.374,           6.139,           5.903,           5.668,           5.434,          10.059,           5.201,           4.967,           4.732,           0.000,           4.259,           3.014,           2.008,           1.003,           0.000,           0.000,           0.672,           0.458,           0.235,           0.000,          -0.054,           0.238,           4.495,           0.000
      31,          0.500000,           9.255,           9.142,           8.748,           7.456,           7.393,           0.364,           9.323,           9.406,           9.457,           9.523,           9.618,           9.761,           9.876,           9.965,          10.128,           9.987,           9.769,           9.593,           9.384,           9.188,           8.995,           8.794,           8.586,           4.028,           8.381,           8.180,           7.975,           7.753,           6.853,           6.621,           6.386,           6.150,           5.914,           5.679,           5.444,          10.178,           5.210,           4.975,           4.740,           0.000,           4.266,           3.019,           2.011,           1.005,           0.000,           0.000,           0.679,           0.461,           0.236,           0.000,          -0.055,           0.238,           4.502,           0.000
      32,          0.516667,           9.475,           9.376,           9.014,           7.771,           7.443,           0.348,           9.536,           9.612,           9.656,           9.713,           9.797,           9.920,          10.017,          10.093,          10.232,          10.073,           9.852,           9.663,           9.449,           9.245,           9.045,           8.836,           8.623,           4.026,           8.414,           8.206,           7.995,           7.770,           6.862,           6.629,           6.393,           6.157,           5.921,           5.685,           5.449,          10.273,           5.213,           4.976,           4.740,           0.000,           4.264,           3.019,           2.013,           1.006,           0.000,           0.000,           0.684,           0.462,           0.235,           0.000,          -0.054,           0.237,           4.503,           0.000
      33,          0.533333,           9.664,           9.577,           9.245,           8.114,           7.591,           0.334,           9.720,           9.790,           9.828,           9.876,           9.949,          10.052,          10.134,          10.197,          10.314,          10.141,           9.917,           9.718,           9.501,           9.290,           9.082,           8.868,           8.651,           4.016,           8.435,           8.220,           8.005,           7.778,           6.862,           6.629,           6.394,           6.157,           5.921,           5.684,           5.446,          10.347,           5.207,           4.968,           4.729,           0.000,           4.254,           3.015,           2.011,           1.006,           0.000,           0.000,           0.689,           0.463,           0.234,           0.000,          -0.058,           0.236,           4.492,           0.000
      34,          0.550000,           9.826,           9.750,           9.452,           8.477,           7.817,           0.330,           9.877,           9.936,           9.969,          10.008,          10.068,          10.157,          10.227,          10.280,          10.378,          10.192,           9.967,           9.760,           9.538,           9.323,           9.108,           8.889,           8.667,           4.003,           8.448,           8.228,           8.006,           7.777,           6.856,           6.622,           6.384,           6.148,           5.912,           5.673,           5.435,          10.403,           5.194,           4.954,           4.715,           0.000,           4.240,           3.007,           2.007,           1.005,           0.000,           0.000,           0.692,           0.464,           0.234,           0.000,          -0.055,           0.235,           4.479,           0.000
      35,          0.566667,           9.961,           9.896,           9.639,           8.845,           8.091,           0.330,          10.002,          10.056,          10.083,          10.116,          10.166,          10.241,          10.299,          10.343,          10.425,          10.231,          10.004,           9.789,           9.564,           9.344,           9.123,           8.899,           8.674,           3.988,           8.450,           8.225,           7.998,           7.768,           6.841,           6.607,           6.369,           6.133,           5.896,           5.658,           5.419,          10.446,           5.178,           4.937,           4.698,           0.000,           4.224,           2.996,           2.000,           1.002,           0.000,           0.000,           0.695,           0.464,           0.233,           0.000,          -0.054,           0.234,           4.463,           0.000
      36,          0.583333,          10.062,          10.009,           9.802,           9.205,           8.385,           0.333,          10.098,          10.148,          10.173,          10.203,          10.245,          10.305,          10.353,          10.390,          10.456,          10.253,          10.028,           9.806,           9.580,           9.354,           9.128,           8.901,           8.673,           3.970,           8.444,           8.214,           7.983,           7.752,           6.820,           6.586,           6.349,           6.113,           5.877,           5.639,           5.399,          10.472,           5.158,           4.917,           4.678,           0.000,           4.206,           2.983,           1.993,           0.999,           0.000,           0.000,           0.699,           0.465,           0.232,           0.000,          -0.056,           0.232,           4.444,           0.000
      37,          0.600000,          10.152,          10.105,           9.941,           9.545,           8.645,           0.337,          10.184,          10.225,          10.246,          10.273,          10.307,          10.357,          10.394,          10.423,          10.473,          10.262,          10.036,           9.809,           9.582,           9.352,           9.120,           8.888,           8.657,           3.936,           8.426,           8.191,           7.954,           7.722,           6.788,           6.555,           6.318,           6.084,           5.850,           5.612,           5.371,          10.482,           5.127,           4.884,           4.643,           0.000,           4.171,           2.963,           1.981,           0.994,           0.000,           0.000,           0.699,           0.463,           0.229,           0.000,          -0.052,           0.229,           4.411,           0.000
      38,          0.616667,          10.228,          10.187,          10.065,           9.897,           8.731,           0.331,          10.255,          10.289,          10.305,          10.325,          10.353,          10.390,          10.417,          10.437,          10.472,          10.254,          10.027,           9.794,           9.566,           9.333,           9.095,           8.860,           8.625,           3.888,           8.390,           8.148,           7.907,           7.676,           6.742,           6.510,           6.274,           6.041,           5.808,           5.568,           5.325,          10.477,           5.077,           4.832,           4.590,           0.000,           4.121,           2.932,           1.963,           0.987,           0.000,           0.000,           0.698,           0.459,           0.225,           0.000,          -0.050,           0.225,           4.360,           0.000
      39,          0.633333,          10.288,          10.257,          10.178,          10.222,           9.034,           0.336,          10.310,          10.335,          10.347,          10.363,          10.382,          10.405,          10.422,          10.435,          10.454,          10.229,          10.001,           9.764,           9.534,           9.297,           9.054,           8.814,           8.577,           3.833,           8.338,           8.091,           7.846,           7.613,           6.679,           6.449,           6.213,           5.980,           5.749,           5.509,           5.264,          10.451,           5.015,           4.767,           4.526,           0.000,           4.063,           2.894,           1.940,           0.977,           0.000,           0.000,           0.696,           0.456,           0.222,           0.000,          -0.051,           0.221,           4.299,           0.000
      40,          0.650000,          10.332,          10.310,          10.273,          10.479,           9.367,           0.350,          10.347,          10.364,          10.373,          10.382,          10.393,          10.404,          10.411,          10.415,          10.420,          10.188,           9.959,           9.716,           9.485,           9.244,           8.997,           8.752,           8.513,           3.772,           8.270,           8.017,           7.767,           7.535,           6.600,           6.372,           6.137,           5.906,           5.677,           5.437,           5.192,          10.412,           4.942,           4.697,           4.458,           0.000,           3.999,           2.851,           1.914,           0.964,           0.000,           0.000,           0.696,           0.452,           0.218,           0.000,          -0.048,           0.216,           4.234,           0.000
      41,          0.666667,          10.360,          10.347,          10.345,          10.671,           9.605,           0.351,          10.368,          10.377,          10.381,          10.385,          10.388,          10.385,          10.380,          10.377,          10.366,          10.125,           9.902,           9.653,           9.421,           9.176,           8.922,           8.674,           8.433,           3.709,           8.187,           7.930,           7.676,           7.443,           6.510,           6.284,           6.050,           5.822,           5.595,           5.357,           5.114,          10.350,           4.865,           4.620,           4.382,           0.000,           3.931,           2.805,           1.884,           0.951,           0.000,           0.000,           0.693,           0.447,           0.215,           0.000,          -0.046,           0.212,           4.162,           0.000
      42,          0.683333,          10.369,          10.366,          10.394,          10.809,           9.718,           0.351,          10.371,          10.372,          10.371,          10.370,          10.363,          10.350,          10.336,          10.324,          10.301,          10.050,           9.831,           9.574,           9.342,           9.094,           8.834,           8.584,           8.340,           3.643,           8.091,           7.831,           7.572,           7.340,           6.411,           6.187,           5.956,           5.731,           5.506,           5.270,           5.029,          10.317,           4.782,           4.540,           4.305,           0.000,           3.862,           2.756,           1.852,           0.935,           0.000,           0.000,           0.690,           0.443,           0.211,           0.000,          -0.046,           0.208,           4.089,           0.000
      43,          0.700000,          10.362,          10.368,          10.419,          10.909,           9.703,           0.346,          10.357,          10.350,          10.346,          10.340,          10.326,          10.300,          10.278,          10.259,          10.219,           9.967,           9.745,           9.482,           9.249,           8.998,           8.735,           8.482,           8.236,           3.577,           7.985,           7.723,           7.461,           7.230,           6.306,           6.085,           5.856,           5.634,           5.413,           5.180,           4.941,          10.193,           4.697,           4.458,           4.227,           0.000,           3.792,           2.708,           1.820,           0.919,           0.000,           0.000,           0.684,           0.437,           0.207,           0.000,          -0.046,           0.204,           4.014,           0.000
