"EG02_014 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_014.tcf]","Time(h)","F FC01.1_R [EG02_014]","F FC01.2_R [EG02_014]","F FC04.1_C [EG02_014]","F Pipe0 [EG02_014]","F Pipe1 [EG02_014]","F Pipe10 [EG02_014]","F Pipe11 [EG02_014]","F Pipe12 [EG02_014]","F Pipe13 [EG02_014]","F Pipe14 [EG02_014]","F Pipe15 [EG02_014]","F Pipe16 [EG02_014]","F Pipe17 [EG02_014]","F Pipe19 [EG02_014]","F Pipe2 [EG02_014]","F Pipe3 [EG02_014]","F Pipe4 [EG02_014]","F Pipe5 [EG02_014]","F Pipe6 [EG02_014]","F Pipe7 [EG02_014]","F Pipe8 [EG02_014]","F Pipe9 [EG02_014]","F Pit1 [EG02_014]","F Pit10 [EG02_014]","F Pit11 [EG02_014]","F Pit12 [EG02_014]","F Pit13 [EG02_014]","F Pit14 [EG02_014]","F Pit15 [EG02_014]","F Pit16 [EG02_014]","F Pit17 [EG02_014]","F Pit18 [EG02_014]","F Pit19 [EG02_014]","F Pit2 [EG02_014]","F Pit3 [EG02_014]","F Pit4 [EG02_014]","F Pit5 [EG02_014]","F Pit6 [EG02_014]","F Pit7 [EG02_014]","F Pit8 [EG02_014]","F Pit9 [EG02_014]"
      57,          0.933333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,D,R,D,D,R,D,D
      58,          0.950000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,R,D,D,D,R,D,D
      59,          0.966667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,R,D,R,D,R,D,D
      60,          0.983333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,D,D,R,D,R,D,D
      61,          1.000000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,D,R,D,D,R,D,D
      62,          1.016667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,D,R,D,D,R,D,D
      63,          1.033333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,D,R,D,D,D,D,D
      64,          1.050000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,D,R,D,D,D,D,D
      65,          1.066667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,D,R,D,D,D,D,D
      66,          1.083333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,D,R,D,D,D,D,D
      67,          1.100000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,D,R,D,D,D,D,D
      68,          1.116667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,D,D,D,D,D,D,D
      69,          1.133333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,D,D,D,D,D,D,D
      70,          1.150000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,R,R,D,D,D,D,D,R,D,D,D,D
      71,          1.166667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,R,D,R,D,D,D,D
      72,          1.183333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,R,R,R,D,D,D,D
      73,          1.200000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,R,R,D,D,D,D,D
      74,          1.216667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,R,R,D,D,D,D,D
      75,          1.233333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
      76,          1.250000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,R,D,R,D,D,D,D
      77,          1.266667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,R,D,D,D,D,D,R,D,D,D,D,D
      78,          1.283333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      79,          1.300000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
      80,          1.316667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,R,D,R,D,D,D,D
      81,          1.333333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      82,          1.350000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
      83,          1.366667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,R,D,R,D,D,D,D
      84,          1.383333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,R,R,D,D,D,D,R,D,D,D,D,D
      85,          1.400000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,R,D,D,D,D
      86,          1.416667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,R,R,D,D,D,D
      87,          1.433333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      88,          1.450000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,D,D,D,R,D,D,D,D
      89,          1.466667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,R,R,R,D,D,D,R,D,D,D,D,D
      90,          1.483333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,R,D,D,R,D,D,D,D
      91,          1.500000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      92,          1.516667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      93,          1.533333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
      94,          1.550000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,R,D,D,D,D,D,R,D,D,D,D,D
      95,          1.566667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
      96,          1.583333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      97,          1.600000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
      98,          1.616667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      99,          1.633333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,R,D,R,D,D,D,D
     100,          1.650000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,R,D,R,D,D,D,R,D,R,D,D,D
     101,          1.666667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
     102,          1.683333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
     103,          1.700000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,D,D,R,D,D,D,D
     104,          1.716667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,R,D,D,D,D,D,R,D,D,D,D,D
     105,          1.733333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     106,          1.750000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     107,          1.766667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D,D,D,D,D
     108,          1.783333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
     109,          1.800000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,R,D,D,D,D,D
     110,          1.816667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,D,D,D,D,D,D,D,D,R,D,D,D,R,D,D,D,D
     111,          1.833333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
     112,          1.850000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
     113,          1.866667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
     114,          1.883333,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     115,          1.900000,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,D,D,D,D,D,D,D
     116,          1.916667,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
     117,          1.933333,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     118,          1.950000,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,R,D,D,D,D,D,R,D,D,D,D,D
     119,          1.966667,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
     120,          1.983333,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
     121,          2.000000,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
     122,          2.016667,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D,D,D,D,D
     123,          2.033334,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,R,D,D,D,D
     124,          2.050000,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,R,R,D,D,D,D,D
     125,          2.066667,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,D,D,D,D,D,D,D,D,R,D,D,D,R,D,D,D,D
     126,          2.083333,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,D,D,D,D,D,D,D,D,D,D,D,R,R,D,D,R,D
     127,          2.100000,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,R,R,D,D
     128,          2.116667,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,R,D,D,D
     129,          2.133333,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,D,D,D,D,D,D,D
     130,          2.150000,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
     131,          2.166667,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,R,D,D,D,D,D,D,D,D,D,D,D
     132,          2.183333,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,R,D,D,D,D,R,D,D,D,D,D,D
     133,          2.200000,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,R,D,R,D,D,D,D,D,R,D,D,D,D,D
     134,          2.216667,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D,D
     135,          2.233333,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
     136,          2.250000,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,R,R,D,D,D,D,D
     137,          2.266667,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
     138,          2.283334,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
