"EG02_014 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_014.tcf]","Time(h)","V FC01.1_R [EG02_014]","V FC01.2_R [EG02_014]","V FC04.1_C [EG02_014]","V Pipe0 [EG02_014]","V Pipe1 [EG02_014]","V Pipe10 [EG02_014]","V Pipe11 [EG02_014]","V Pipe12 [EG02_014]","V Pipe13 [EG02_014]","V Pipe14 [EG02_014]","V Pipe15 [EG02_014]","V Pipe16 [EG02_014]","V Pipe17 [EG02_014]","V Pipe19 [EG02_014]","V Pipe2 [EG02_014]","V Pipe3 [EG02_014]","V Pipe4 [EG02_014]","V Pipe5 [EG02_014]","V Pipe6 [EG02_014]","V Pipe7 [EG02_014]","V Pipe8 [EG02_014]","V Pipe9 [EG02_014]","V Pit1 [EG02_014]","V Pit10 [EG02_014]","V Pit11 [EG02_014]","V Pit12 [EG02_014]","V Pit13 [EG02_014]","V Pit14 [EG02_014]","V Pit15 [EG02_014]","V Pit16 [EG02_014]","V Pit17 [EG02_014]","V Pit18 [EG02_014]","V Pit19 [EG02_014]","V Pit2 [EG02_014]","V Pit3 [EG02_014]","V Pit4 [EG02_014]","V Pit5 [EG02_014]","V Pit6 [EG02_014]","V Pit7 [EG02_014]","V Pit8 [EG02_014]","V Pit9 [EG02_014]"
      11,          0.166667,    0.000,    0.422,    0.000,    0.544,    0.768,    0.762,    0.396,    0.744,    0.954,    0.984,    0.816,    0.211,    1.001,    0.825,    0.624,    0.595,    0.659,    0.787,    0.754,    0.615,    0.698,    0.780,    0.000,    0.889,    0.966,    0.966,    0.966,    0.966,    0.725,    0.725,    0.000,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966,    0.966,    0.966,    0.000,    0.966
      12,          0.183333,    0.000,    0.456,    0.000,    0.582,    0.806,    0.825,    0.465,    0.810,    1.037,    1.078,    0.892,    0.187,    1.108,    0.890,    0.666,    0.637,    0.612,    0.857,    0.831,    0.653,    0.746,    0.843,    0.725,    0.846,    0.966,    0.966,    0.966,    0.966,    0.223,    0.000,    0.966,    0.966,    0.966,    0.966,    0.186,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966
      13,          0.200000,    0.931,    0.024,    0.246,    0.618,    0.849,    0.894,    0.048,    0.883,    0.004,   -0.153,    0.073,    0.009,   -0.023,    0.954,    0.718,    0.679,    0.345,    0.925,    0.616,    0.692,    0.796,    0.912,    0.966,    0.819,    0.966,    0.966,    0.966,    0.966,    0.966,    0.725,    0.966,    0.966,    0.966,    0.925,    0.186,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966
      14,          0.216667,    1.429,    0.854,    0.418,    0.602,    0.895,   -0.252,   -0.201,   -0.275,    0.069,    0.161,   -0.212,    0.026,    0.227,    1.027,    0.755,    0.720,    0.367,   -0.215,   -0.281,    0.738,    0.750,    0.421,    0.966,    0.803,    0.966,    0.966,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966,    0.966,    0.874,    0.000,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966
      15,          0.233333,    1.662,    0.495,    0.524,   -0.091,   -0.230,   -0.009,    0.041,   -0.043,    0.325,    0.424,   -0.464,    0.027,    0.487,   -0.508,    0.033,    0.757,   -0.252,   -0.520,   -0.538,   -0.085,    0.003,    0.029,    0.966,    0.793,    0.966,    0.966,    0.966,    0.966,    0.966,    0.725,    0.966,    0.966,    0.894,    0.840,    0.725,    0.966,    0.966,    0.903,    0.966,    0.966,    0.966
      16,          0.250000,    1.811,    0.092,    0.612,    0.060,    0.301,    0.816,    0.660,    0.826,    0.218,   -0.163,    0.458,    0.000,   -0.385,    0.625,    0.226,    0.143,    0.218,    0.593,    0.628,    0.289,    0.512,    0.802,    0.966,   -0.280,   -0.326,   -0.273,   -0.115,   -0.228,    0.966,    0.706,    0.966,    0.839,    0.802,    0.819,    0.665,    0.966,    0.935,    0.849,    0.966,    0.269,   -0.211
      17,          0.266667,    1.911,    0.330,    0.690,    0.095,    0.329,    0.933,    0.599,    0.885,    0.230,   -0.072,    0.491,    0.001,   -0.336,    0.807,    0.094,    0.187,    0.312,    0.784,    0.780,    0.388,    0.695,    0.912,    0.966,   -0.192,   -0.192,   -0.225,   -0.153,   -0.293,    0.002,    0.000,    0.448,    0.571,    0.615,    0.522,    0.710,    0.966,    0.905,    0.143,    0.104,   -0.094,   -0.262
      18,          0.283333,    1.992,   -0.161,    0.757,    0.101,    0.331,    0.943,    0.485,    0.852,    0.219,    0.016,    0.418,    0.002,   -0.185,    0.754,    0.076,    0.258,    0.444,    0.812,    0.755,    0.395,    0.713,    0.915,    0.540,   -0.138,   -0.105,   -0.132,   -0.178,   -0.282,   -0.114,    0.725,    0.291,    0.430,    0.474,    0.359,    0.000,    0.966,    0.859,    0.097,    0.077,   -0.143,   -0.280
      19,          0.300000,    2.069,    0.945,    0.816,    0.126,    0.316,    0.941,    0.428,    0.803,    0.198,    0.035,    0.362,    0.001,   -0.122,    0.789,    0.059,    0.303,    0.472,    0.793,    0.689,    0.395,    0.727,    0.912,    0.366,   -0.119,   -0.084,   -0.082,   -0.144,   -0.218,   -0.170,    0.000,    0.218,    0.357,    0.394,    0.273,    0.186,    0.961,    0.716,    0.065,    0.056,   -0.171,   -0.232
      20,          0.316667,    2.144,    0.017,    0.868,    0.134,    0.292,    0.926,    0.397,    0.748,    0.175,    0.017,    0.325,    0.001,   -0.121,    0.775,    0.057,    0.317,    0.492,    0.796,    0.606,    0.395,    0.727,    0.905,    0.308,   -0.115,   -0.081,   -0.071,   -0.104,   -0.152,   -0.238,    0.177,    0.174,    0.315,    0.350,    0.205,    0.186,    0.951,    0.510,    0.056,    0.033,   -0.179,   -0.182
      21,          0.333333,    2.214,    0.920,    0.911,    0.095,    0.211,    0.905,    0.363,    0.686,    0.167,    0.034,    0.269,    0.001,   -0.084,    0.799,    0.056,    0.303,    0.479,    0.785,    0.519,    0.417,    0.732,    0.895,    0.201,   -0.103,   -0.068,   -0.060,   -0.093,   -0.130,   -0.270,   -0.012,    0.136,    0.276,    0.320,    0.145,    0.725,    0.919,    0.416,    0.050,    0.013,   -0.184,   -0.165
      22,          0.350000,    2.280,    0.484,    0.947,    0.089,    0.205,    0.877,    0.332,    0.613,    0.149,    0.033,    0.212,    0.001,   -0.062,    0.758,    0.060,    0.296,    0.547,    0.752,    0.424,    0.414,    0.728,    0.882,    0.158,   -0.093,   -0.059,   -0.048,   -0.074,   -0.109,   -0.284,   -0.014,    0.113,    0.262,    0.307,    0.133,    0.107,    0.853,    0.351,    0.050,   -0.004,   -0.188,   -0.149
      23,          0.366667,    2.347,    0.814,    0.978,    0.046,    0.102,    0.846,    0.283,    0.537,    0.119,    0.019,    0.181,    0.001,   -0.059,    0.775,    0.063,    0.270,    0.536,    0.707,    0.367,    0.412,    0.724,    0.869,    0.075,   -0.085,   -0.051,   -0.040,   -0.060,   -0.099,   -0.230,   -0.128,    0.095,    0.252,    0.297,    0.053,    0.680,    0.693,    0.291,    0.050,   -0.023,   -0.196,   -0.131
      24,          0.383333,    2.424,   -0.364,    1.005,    0.049,    0.112,    0.802,    0.237,    0.461,    0.098,    0.013,    0.162,    0.001,   -0.052,    0.744,    0.064,    0.273,    0.547,    0.636,    0.328,    0.409,    0.718,    0.855,    0.074,   -0.072,   -0.043,   -0.033,   -0.055,   -0.089,   -0.170,   -0.169,    0.081,    0.243,    0.290,    0.064,    0.457,    0.595,    0.277,    0.050,   -0.049,   -0.192,   -0.116
      25,          0.400000,    2.511,    1.187,    1.027,    0.038,    0.089,    0.747,    0.200,    0.408,    0.079,    0.009,    0.140,    0.001,   -0.046,    0.730,    0.063,    0.267,    0.542,    0.564,    0.299,    0.407,    0.711,    0.837,    0.054,   -0.062,   -0.035,   -0.027,   -0.046,   -0.082,   -0.138,   -0.216,    0.068,    0.237,    0.284,    0.049,    0.367,    0.529,    0.259,    0.048,   -0.077,   -0.176,   -0.108
      26,          0.416667,    2.605,    1.115,    1.047,    0.031,    0.076,    0.689,    0.176,    0.369,    0.067,    0.005,    0.120,    0.001,   -0.042,    0.704,    0.062,    0.260,    0.533,    0.496,    0.263,    0.404,    0.704,    0.816,    0.042,   -0.056,   -0.031,   -0.023,   -0.038,   -0.074,   -0.115,   -0.250,    0.059,    0.231,    0.280,    0.041,    0.323,    0.477,    0.245,    0.046,   -0.109,   -0.164,   -0.100
      27,          0.433333,    2.705,    1.283,    1.063,    0.024,    0.061,    0.623,    0.153,    0.332,    0.058,    0.005,    0.098,    0.001,   -0.031,    0.676,    0.059,    0.255,    0.524,    0.427,    0.217,    0.401,    0.696,    0.796,    0.031,   -0.049,   -0.027,   -0.018,   -0.033,   -0.062,   -0.101,   -0.258,    0.049,    0.225,    0.276,    0.033,    0.268,    0.448,    0.232,    0.043,   -0.135,   -0.148,   -0.093
      28,          0.450000,    2.808,   -0.078,    1.078,    0.017,    0.042,    0.558,    0.136,    0.301,    0.050,    0.006,    0.079,    0.001,   -0.023,    0.648,    0.054,    0.247,    0.512,    0.358,    0.183,    0.398,    0.688,    0.776,    0.021,   -0.044,   -0.022,   -0.014,   -0.026,   -0.053,   -0.092,   -0.241,    0.034,    0.220,    0.272,    0.022,    0.215,    0.419,    0.221,    0.039,   -0.151,   -0.133,   -0.086
      29,          0.466667,    2.927,    1.053,    1.091,    0.008,    0.019,    0.498,    0.117,    0.264,    0.045,    0.006,    0.070,    0.001,   -0.018,    0.603,    0.047,    0.238,    0.495,    0.317,    0.163,    0.394,    0.680,    0.750,    0.009,   -0.037,   -0.019,   -0.012,   -0.025,   -0.048,   -0.083,   -0.202,    0.023,    0.215,    0.268,    0.010,    0.182,    0.391,    0.209,    0.034,   -0.163,   -0.121,   -0.076
      30,          0.483333,    3.054,    0.963,    1.102,    0.003,    0.002,    0.444,    0.099,    0.231,    0.036,    0.004,    0.058,    0.001,   -0.016,    0.551,    0.039,    0.230,    0.479,    0.294,    0.138,    0.390,    0.670,    0.720,    0.004,   -0.032,   -0.016,   -0.009,   -0.020,   -0.041,   -0.081,   -0.165,    0.011,    0.210,    0.264,   -0.001,    0.137,    0.367,    0.198,    0.027,   -0.165,   -0.111,   -0.069
      31,          0.500000,    3.180,    1.006,    1.111,    0.001,   -0.001,    0.403,    0.085,    0.203,    0.029,    0.001,    0.049,    0.001,   -0.014,    0.494,    0.028,    0.222,    0.465,    0.262,    0.120,    0.386,    0.659,    0.684,    0.002,   -0.029,   -0.014,   -0.007,   -0.016,   -0.036,   -0.074,   -0.134,   -0.003,    0.204,    0.260,   -0.002,    0.058,    0.347,    0.189,    0.020,   -0.157,   -0.104,   -0.061
      32,          0.516667,    3.301,    0.631,    1.119,    0.000,   -0.019,    0.367,    0.073,    0.179,    0.025,    0.002,    0.040,    0.001,   -0.010,    0.438,    0.018,    0.212,    0.447,    0.227,    0.101,    0.381,    0.648,    0.646,    0.000,   -0.025,   -0.011,   -0.006,   -0.014,   -0.032,   -0.065,   -0.111,   -0.018,    0.198,    0.256,   -0.015,    0.020,    0.325,    0.178,    0.012,   -0.146,   -0.098,   -0.054
      33,          0.533333,    3.457,    0.650,    1.126,   -0.004,   -0.034,    0.333,    0.066,    0.164,    0.021,    0.002,    0.031,    0.001,   -0.007,    0.383,    0.006,    0.204,    0.428,    0.188,    0.081,    0.375,    0.635,    0.607,   -0.004,   -0.023,   -0.009,   -0.004,   -0.011,   -0.026,   -0.055,   -0.101,   -0.034,    0.192,    0.252,   -0.022,   -0.018,    0.304,    0.169,    0.004,   -0.137,   -0.092,   -0.050
      34,          0.550000,    3.656,    0.676,    1.132,   -0.008,   -0.042,    0.312,    0.058,    0.147,    0.020,    0.002,    0.023,    0.001,   -0.003,    0.329,   -0.000,    0.194,    0.408,    0.156,    0.064,    0.369,    0.620,    0.563,   -0.008,   -0.020,   -0.009,   -0.002,   -0.009,   -0.021,   -0.047,   -0.089,   -0.050,    0.185,    0.248,   -0.024,   -0.058,    0.284,    0.159,   -0.000,   -0.131,   -0.086,   -0.046
      35,          0.566667,    4.880,    0.695,    1.137,   -0.013,   -0.052,    0.286,    0.051,    0.133,    0.016,    0.002,    0.017,    0.001,   -0.002,    0.266,   -0.011,    0.185,    0.388,    0.126,    0.050,    0.364,    0.607,    0.520,   -0.012,   -0.018,   -0.007,   -0.001,   -0.006,   -0.017,   -0.039,   -0.078,   -0.066,    0.179,    0.244,   -0.027,   -0.080,    0.265,    0.150,   -0.007,   -0.121,   -0.080,   -0.042
      36,          0.583333,    5.397,    0.746,    1.142,   -0.017,   -0.059,    0.255,    0.044,    0.114,    0.014,    0.002,    0.009,    0.001,    0.000,    0.205,   -0.025,    0.170,    0.356,    0.087,    0.031,    0.358,    0.593,    0.473,   -0.015,   -0.015,   -0.006,   -0.000,   -0.003,   -0.011,   -0.029,   -0.061,   -0.079,    0.173,    0.239,   -0.027,   -0.115,    0.237,    0.136,   -0.016,   -0.113,   -0.073,   -0.036
      37,          0.600000,    5.877,    0.848,    1.145,   -0.019,   -0.059,    0.223,    0.035,    0.096,    0.010,    0.001,    0.004,    0.000,    0.000,    0.143,   -0.037,    0.149,    0.311,    0.056,    0.017,    0.350,    0.576,    0.427,   -0.015,   -0.013,   -0.004,    0.000,   -0.001,   -0.007,   -0.019,   -0.045,   -0.090,    0.165,    0.234,   -0.025,   -0.123,    0.203,    0.118,   -0.023,   -0.106,   -0.066,   -0.032
      38,          0.616667,    6.293,    0.961,    1.148,   -0.015,   -0.051,    0.194,    0.029,    0.083,    0.007,    0.000,    0.001,    0.000,    0.000,    0.095,   -0.046,    0.122,    0.248,    0.034,    0.009,    0.342,    0.556,    0.384,   -0.011,   -0.011,   -0.003,    0.001,    0.001,   -0.004,   -0.012,   -0.031,   -0.098,    0.157,    0.229,   -0.021,   -0.105,    0.153,    0.095,   -0.028,   -0.099,   -0.058,   -0.028
      39,          0.633333,    6.653,    1.115,    1.150,   -0.009,   -0.037,    0.167,    0.022,    0.068,    0.005,    0.000,    0.000,    0.000,    0.000,    0.061,   -0.052,    0.093,    0.182,    0.019,    0.004,    0.332,    0.534,    0.345,   -0.006,   -0.008,   -0.002,    0.000,    0.001,   -0.002,   -0.008,   -0.022,   -0.101,    0.147,    0.222,   -0.015,   -0.078,    0.103,    0.070,   -0.031,   -0.093,   -0.051,   -0.023
      40,          0.650000,    6.976,    1.290,    1.151,   -0.005,   -0.023,    0.146,    0.018,    0.058,    0.004,    0.000,    0.000,    0.000,    0.000,    0.042,   -0.055,    0.069,    0.127,    0.011,    0.001,    0.320,    0.507,    0.309,   -0.003,   -0.007,   -0.002,    0.000,    0.001,   -0.000,   -0.005,   -0.016,   -0.102,    0.135,    0.215,   -0.009,   -0.053,    0.064,    0.051,   -0.032,   -0.085,   -0.045,   -0.020
      41,          0.666667,    7.275,    1.491,    1.152,   -0.004,   -0.016,    0.128,    0.014,    0.049,    0.002,    0.000,    0.000,    0.000,    0.000,    0.025,   -0.056,    0.050,    0.087,    0.006,    0.000,    0.308,    0.478,    0.277,   -0.002,   -0.006,   -0.001,    0.000,    0.001,    0.000,   -0.003,   -0.010,   -0.099,    0.123,    0.206,   -0.006,   -0.036,    0.039,    0.036,   -0.031,   -0.078,   -0.041,   -0.018
      42,          0.683333,    7.552,    1.686,    1.152,   -0.000,   -0.009,    0.109,    0.011,    0.040,    0.001,    0.000,    0.000,    0.000,    0.000,    0.017,   -0.057,    0.036,    0.059,    0.003,    0.000,    0.294,    0.446,    0.245,   -0.000,   -0.005,   -0.000,    0.000,    0.001,    0.000,   -0.001,   -0.007,   -0.094,    0.109,    0.197,   -0.004,   -0.025,    0.023,    0.025,   -0.031,   -0.071,   -0.036,   -0.015
      43,          0.700000,    7.766,    1.862,    1.151,    0.000,   -0.004,    0.090,    0.008,    0.032,    0.001,    0.000,    0.000,    0.000,    0.000,    0.010,   -0.057,    0.026,    0.041,    0.001,    0.000,    0.276,    0.406,    0.207,    0.000,   -0.003,    0.000,    0.000,    0.001,    0.000,   -0.000,   -0.004,   -0.089,    0.093,    0.185,   -0.002,   -0.018,    0.014,    0.017,   -0.030,   -0.061,   -0.030,   -0.012
      44,          0.716667,    7.906,    2.039,    1.150,    0.000,   -0.003,    0.075,    0.005,    0.025,    0.000,    0.000,    0.000,    0.000,    0.000,    0.008,   -0.055,    0.020,    0.030,    0.001,    0.000,    0.257,    0.368,    0.178,    0.000,   -0.002,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.003,   -0.081,    0.078,    0.172,   -0.001,   -0.012,    0.009,    0.012,   -0.028,   -0.053,   -0.026,   -0.010
      45,          0.733333,    7.993,    2.200,    1.149,    0.000,   -0.001,    0.061,    0.004,    0.020,    0.000,    0.000,    0.000,    0.000,    0.000,    0.006,   -0.051,    0.014,    0.021,    0.000,    0.000,    0.237,    0.329,    0.150,    0.000,   -0.001,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.003,   -0.073,    0.064,    0.159,   -0.000,   -0.008,    0.006,    0.008,   -0.027,   -0.046,   -0.022,   -0.008
      46,          0.750000,    8.047,    2.362,    1.147,    0.000,   -0.001,    0.048,    0.002,    0.014,    0.000,    0.000,    0.000,    0.000,    0.000,    0.004,   -0.043,    0.011,    0.017,    0.000,    0.000,    0.213,    0.280,    0.124,    0.000,   -0.001,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.002,   -0.062,    0.046,    0.141,   -0.000,   -0.006,    0.004,    0.007,   -0.023,   -0.039,   -0.018,   -0.006
      47,          0.766667,    8.081,    2.540,    1.145,    0.000,    0.000,    0.037,    0.001,    0.009,    0.000,    0.000,    0.000,    0.000,    0.000,    0.002,   -0.037,    0.007,    0.013,    0.000,    0.000,    0.189,    0.238,    0.101,    0.000,   -0.000,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.001,   -0.054,    0.033,    0.125,    0.000,   -0.006,    0.005,    0.004,   -0.019,   -0.033,   -0.014,   -0.004
      48,          0.783333,    8.100,    2.750,    1.142,    0.000,    0.000,    0.028,    0.000,    0.006,    0.000,    0.000,    0.000,    0.000,    0.000,    0.002,   -0.031,    0.006,    0.010,    0.000,    0.000,    0.166,    0.198,    0.081,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.001,   -0.045,    0.022,    0.109,    0.000,   -0.005,    0.003,    0.003,   -0.016,   -0.027,   -0.011,   -0.003
      49,          0.800000,    8.111,    3.002,    1.139,    0.000,    0.000,    0.021,    0.000,    0.004,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.024,    0.004,    0.006,    0.000,    0.000,    0.142,    0.164,    0.064,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,   -0.039,    0.014,    0.092,    0.000,   -0.003,    0.002,    0.002,   -0.012,   -0.023,   -0.009,   -0.002
      50,          0.816667,    8.120,    3.288,    1.135,    0.000,    0.000,    0.015,    0.000,    0.002,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,   -0.018,    0.002,    0.004,    0.000,    0.000,    0.120,    0.133,    0.051,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.000,   -0.033,    0.009,    0.077,    0.000,   -0.001,    0.001,    0.001,   -0.009,   -0.019,   -0.006,   -0.001
      51,          0.833333,    8.126,    3.548,    1.131,    0.000,    0.000,    0.010,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.014,    0.001,    0.003,    0.000,    0.000,    0.100,    0.108,    0.040,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,   -0.028,    0.006,    0.063,    0.000,   -0.001,    0.002,    0.001,   -0.007,   -0.015,   -0.005,   -0.000
      52,          0.850000,    8.131,    3.766,    1.127,    0.000,    0.000,    0.007,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.010,    0.000,    0.004,    0.000,    0.000,    0.081,    0.086,    0.030,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,   -0.024,    0.003,    0.051,    0.000,   -0.002,    0.003,   -0.000,   -0.005,   -0.012,   -0.003,    0.000
      53,          0.866667,    8.134,    3.939,    1.122,    0.000,    0.000,    0.004,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.007,    0.000,    0.002,    0.000,    0.000,    0.066,    0.067,    0.023,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,   -0.020,    0.001,    0.040,    0.000,   -0.001,    0.001,    0.000,   -0.003,   -0.009,   -0.002,    0.000
      54,          0.883333,    8.136,    4.081,    1.117,    0.000,    0.000,    0.003,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.005,    0.000,    0.003,    0.000,    0.000,    0.053,    0.053,    0.017,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,   -0.016,    0.001,    0.032,    0.000,   -0.001,    0.001,    0.000,   -0.002,   -0.007,   -0.001,    0.000
      55,          0.900000,    8.138,    4.200,    1.112,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.003,    0.000,    0.002,    0.000,    0.000,    0.041,    0.041,    0.013,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,   -0.014,    0.001,    0.024,    0.000,   -0.001,    0.001,    0.000,   -0.001,   -0.006,   -0.000,    0.000
      56,          0.916667,    8.139,    4.303,    1.106,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.001,    0.000,    0.000,    0.000,    0.032,    0.032,    0.010,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,   -0.011,    0.000,    0.019,    0.000,    0.000,   -0.000,    0.001,   -0.000,   -0.005,   -0.000,    0.000
