"EG02_014 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_014.tcf]","Time (h)","H RL_01 [EG02_014]","H RL_02 [EG02_014]"
     104,          1.716667,     43.5555,     43.5555
     105,          1.733333,     43.5563,     43.5563
     106,          1.750000,     43.5571,     43.5571
     107,          1.766667,     43.5579,     43.5578
     108,          1.783333,     43.5586,     43.5587
     109,          1.800000,     43.5594,     43.5594
     110,          1.816667,     43.5601,     43.5601
     111,          1.833333,     43.5608,     43.5607
     112,          1.850000,     43.5615,     43.5615
     113,          1.866667,     43.5621,     43.5621
     114,          1.883333,     43.5628,     43.5628
     115,          1.900000,     43.5634,     43.5634
     116,          1.916667,     43.5640,     43.5640
     117,          1.933333,     43.5646,     43.5646
     118,          1.950000,     43.5652,     43.5652
     119,          1.966667,     43.5658,     43.5657
     120,          1.983333,     43.5663,     43.5663
     121,          2.000000,     43.5668,     43.5669
     122,          2.016667,     43.5674,     43.5674
     123,          2.033334,     43.5679,     43.5679
     124,          2.050000,     43.5684,     43.5684
     125,          2.066667,     43.5689,     43.5690
     126,          2.083333,     43.5693,     43.5694
     127,          2.100000,     43.5698,     43.5698
     128,          2.116667,     43.5702,     43.5702
     129,          2.133333,     43.5707,     43.5706
     130,          2.150000,     43.5711,     43.5710
     131,          2.166667,     43.5715,     43.5715
     132,          2.183333,     43.5719,     43.5718
     133,          2.200000,     43.5723,     43.5722
     134,          2.216667,     43.5726,     43.5727
     135,          2.233333,     43.5730,     43.5730
     136,          2.250000,     43.5733,     43.5733
     137,          2.266667,     43.5737,     43.5737
     138,          2.283334,     43.5739,     43.5740
     139,          2.300000,     43.5743,     43.5742
     140,          2.316667,     43.5746,     43.5746
     141,          2.333333,     43.5748,     43.5748
     142,          2.350000,     43.5751,     43.5751
     143,          2.366667,     43.5753,     43.5753
     144,          2.383333,     43.5756,     43.5756
     145,          2.400000,     43.5758,     43.5758
     146,          2.416667,     43.5760,     43.5760
     147,          2.433333,     43.5762,     43.5763
     148,          2.450000,     43.5765,     43.5764
     149,          2.466667,     43.5766,     43.5766
     150,          2.483333,     43.5768,     43.5768
     151,          2.500000,     43.5770,     43.5770
     152,          2.516667,     43.5772,     43.5771
     153,          2.533334,     43.5773,     43.5773
     154,          2.550000,     43.5775,     43.5775
     155,          2.566667,     43.5776,     43.5776
     156,          2.583333,     43.5778,     43.5777
     157,          2.600000,     43.5779,     43.5779
     158,          2.616667,     43.5780,     43.5780
     159,          2.633333,     43.5781,     43.5781
     160,          2.650000,     43.5783,     43.5783
     161,          2.666667,     43.5784,     43.5784
     162,          2.683333,     43.5785,     43.5785
     163,          2.700000,     43.5786,     43.5786
     164,          2.716667,     43.5787,     43.5787
     165,          2.733334,     43.5788,     43.5788
     166,          2.750000,     43.5789,     43.5789
     167,          2.766667,     43.5790,     43.5790
     168,          2.783334,     43.5790,     43.5790
     169,          2.800000,     43.5791,     43.5791
     170,          2.816667,     43.5792,     43.5792
     171,          2.833333,     43.5793,     43.5793
     172,          2.850000,     43.5793,     43.5793
     173,          2.866667,     43.5794,     43.5794
     174,          2.883333,     43.5795,     43.5795
     175,          2.900000,     43.5796,     43.5796
     176,          2.916667,     43.5796,     43.5796
     177,          2.933333,     43.5797,     43.5797
     178,          2.950000,     43.5797,     43.5797
     179,          2.966667,     43.5798,     43.5798
     180,          2.983334,     43.5798,     43.5798
     181,          3.000000,     43.5799,     43.5799
