"EG05_018","Location","GW flow layer 1","GW flow layer 2","GW flow layer 1","GW flow layer 2","GW flow layer 1","GW flow layer 2","Water Level","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","Water Level","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","Water Level","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","Water Level","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_018.tcf","Time","Loc1_L","Loc1_L","Loc3_L","Loc3_L","Loc2_L","Loc2_L","Loc1_P","Loc1_P","Loc1_P","Loc1_P","Loc1_P","Loc8_P","Loc8_P","Loc8_P","Loc8_P","Loc8_P","Loc10_P","Loc10_P","Loc10_P","Loc10_P","Loc10_P","Loc4_P","Loc4_P","Loc4_P","Loc4_P","Loc4_P"
,      -71.333336,  0.000    ,  0.000    , 0.3615E-06, 0.2451E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1733,         35.9750,         35.1980,          0.0036,          0.0267,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.316666,  0.000    ,  0.000    , 0.3250E-06, 0.2434E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1733,         35.9746,         35.1987,          0.0033,          0.0273,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.300003,  0.000    ,  0.000    , 0.2887E-06, 0.2418E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1733,         35.9743,         35.1994,          0.0030,          0.0280,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.283333,  0.000    ,  0.000    , 0.2518E-06, 0.2401E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1733,         35.9740,         35.2000,          0.0026,          0.0287,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.266670,  0.000    ,  0.000    , 0.2152E-06, 0.2385E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1733,         35.9736,         35.2007,          0.0023,          0.0293,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.250000,  0.000    ,  0.000    , 0.1788E-06, 0.2368E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1733,         35.9733,         35.2014,          0.0019,          0.0300,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.233330,  0.000    ,  0.000    , 0.1420E-06, 0.2351E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1733,         35.9730,         35.2020,          0.0016,          0.0307,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.216667,  0.000    ,  0.000    , 0.1054E-06, 0.2335E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1733,         35.9726,         35.2027,          0.0013,          0.0313,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.199997,  0.000    ,  0.000    , 0.6868E-07, 0.2318E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1733,         35.9723,         35.2034,          0.0009,          0.0320,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.183334,  0.000    ,  0.000    , 0.3207E-07, 0.2301E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1733,         35.9720,         35.2040,          0.0006,          0.0327,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
