"EG05_017","Location","GW flow layer 1","GW flow layer 2","GW flow layer 1","GW flow layer 2","GW flow layer 1","GW flow layer 2","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_017.tcf","Time","Loc1_L","Loc1_L","Loc3_L","Loc3_L","Loc2_L","Loc2_L","Loc1_P","Loc1_P","Loc1_P","Loc1_P","Loc8_P","Loc8_P","Loc8_P","Loc8_P","Loc10_P","Loc10_P","Loc10_P","Loc10_P"
,        0.883333, 0.7004E-03, 0.2002E-05, 0.7014E-03, 0.1933E-05, 0.5986E-03, 0.1764E-05,         38.8155,         38.7442,          0.0066,          0.0353,         35.9910,         35.9068,          0.0197,          0.0354,         42.2619,         42.1912,          0.0060,          0.0354
,        0.900000, 0.7000E-03, 0.2039E-05, 0.6988E-03, 0.1970E-05, 0.5986E-03, 0.1797E-05,         38.8156,         38.7449,          0.0067,          0.0360,         35.9914,         35.9075,          0.0200,          0.0361,         42.2619,         42.1919,          0.0060,          0.0360
,        0.916667, 0.6995E-03, 0.2077E-05, 0.6962E-03, 0.2006E-05, 0.5986E-03, 0.1831E-05,         38.8157,         38.7455,          0.0067,          0.0366,         35.9917,         35.9081,          0.0204,          0.0368,         42.2619,         42.1926,          0.0060,          0.0367
,        0.933333, 0.6990E-03, 0.2115E-05, 0.6907E-03, 0.2043E-05, 0.5986E-03, 0.1864E-05,         38.8158,         38.7462,          0.0068,          0.0373,         35.9921,         35.9088,          0.0207,          0.0374,         42.2619,         42.1932,          0.0060,          0.0374
,        0.950000, 0.6985E-03, 0.2153E-05, 0.6838E-03, 0.2079E-05, 0.5986E-03, 0.1897E-05,         38.8158,         38.7469,          0.0069,          0.0380,         35.9924,         35.9095,          0.0210,          0.0381,         42.2619,         42.1939,          0.0060,          0.0380
,        0.966667, 0.6980E-03, 0.2191E-05, 0.6773E-03, 0.2116E-05, 0.5986E-03, 0.1931E-05,         38.8159,         38.7475,          0.0070,          0.0386,         35.9927,         35.9102,          0.0214,          0.0388,         42.2619,         42.1946,          0.0060,          0.0387
,        0.983333, 0.6975E-03, 0.2229E-05, 0.6753E-03, 0.2152E-05, 0.5986E-03, 0.1964E-05,         38.8160,         38.7482,          0.0071,          0.0393,         35.9931,         35.9108,          0.0217,          0.0395,         42.2619,         42.1952,          0.0060,          0.0394
,        1.000000, 0.6970E-03, 0.2266E-05, 0.6709E-03, 0.2189E-05, 0.5986E-03, 0.1997E-05,         38.8162,         38.7489,          0.0072,          0.0400,         35.9934,         35.9115,          0.0221,          0.0401,         42.2619,         42.1959,          0.0060,          0.0400
,        1.016667, 0.6964E-03, 0.2304E-05, 0.7099E-03, 0.2225E-05, 0.5986E-03, 0.2030E-05,         38.8163,         38.7495,          0.0074,          0.0406,         35.9938,         35.9122,          0.0224,          0.0408,         42.2619,         42.1966,          0.0060,          0.0407
,        1.033333, 0.6959E-03, 0.2342E-05, 0.7106E-03, 0.2262E-05, 0.5986E-03, 0.2064E-05,         38.8164,         38.7502,          0.0075,          0.0413,         35.9941,         35.9128,          0.0227,          0.0415,         42.2619,         42.1972,          0.0060,          0.0414
,        1.050000, 0.6953E-03, 0.2380E-05, 0.7113E-03, 0.2298E-05, 0.5986E-03, 0.2097E-05,         38.8165,         38.7509,          0.0076,          0.0420,         35.9945,         35.9135,          0.0231,          0.0421,         42.2619,         42.1979,          0.0060,          0.0420
,        1.066667, 0.6947E-03, 0.2418E-05, 0.7119E-03, 0.2335E-05, 0.5986E-03, 0.2130E-05,         38.8166,         38.7515,          0.0077,          0.0426,         35.9948,         35.9142,          0.0234,          0.0428,         42.2619,         42.1986,          0.0060,          0.0427
,        1.083333, 0.6941E-03, 0.2455E-05, 0.7125E-03, 0.2371E-05, 0.5986E-03, 0.2164E-05,         38.8168,         38.7522,          0.0078,          0.0433,         35.9951,         35.9148,          0.0238,          0.0435,         42.2619,         42.1992,          0.0060,          0.0434
,        1.100000, 0.6936E-03, 0.2493E-05, 0.7132E-03, 0.2408E-05, 0.5986E-03, 0.2197E-05,         38.8169,         38.7529,          0.0080,          0.0440,         35.9955,         35.9155,          0.0241,          0.0442,         42.2619,         42.1999,          0.0060,          0.0440
,        1.116667, 0.6930E-03, 0.2531E-05, 0.7138E-03, 0.2444E-05, 0.5986E-03, 0.2230E-05,         38.8170,         38.7535,          0.0081,          0.0446,         35.9958,         35.9162,          0.0245,          0.0448,         42.2619,         42.2006,          0.0060,          0.0447
,        1.133333, 0.6924E-03, 0.2569E-05, 0.7144E-03, 0.2481E-05, 0.5986E-03, 0.2264E-05,         38.8172,         38.7542,          0.0082,          0.0453,         35.9962,         35.9169,          0.0248,          0.0455,         42.2619,         42.2012,          0.0060,          0.0454
,        1.150000, 0.6917E-03, 0.2607E-05, 0.7149E-03, 0.2517E-05, 0.5986E-03, 0.2297E-05,         38.8173,         38.7549,          0.0084,          0.0460,         35.9965,         35.9175,          0.0252,          0.0462,         42.2619,         42.2019,          0.0060,          0.0460
,        1.166667, 0.6911E-03, 0.2645E-05, 0.7155E-03, 0.2554E-05, 0.5986E-03, 0.2330E-05,         38.8174,         38.7555,          0.0085,          0.0466,         35.9969,         35.9182,          0.0255,          0.0468,         42.2619,         42.2026,          0.0060,          0.0467
,        1.183333, 0.6905E-03, 0.2682E-05, 0.7160E-03, 0.2590E-05, 0.5986E-03, 0.2363E-05,         38.8176,         38.7562,          0.0087,          0.0473,         35.9972,         35.9189,          0.0258,          0.0475,         42.2619,         42.2032,          0.0060,          0.0474
,        1.200000, 0.6899E-03, 0.2720E-05, 0.7166E-03, 0.2627E-05, 0.5986E-03, 0.2397E-05,         38.8177,         38.7569,          0.0088,          0.0480,         35.9976,         35.9196,          0.0262,          0.0482,         42.2619,         42.2039,          0.0060,          0.0480
,        1.216667, 0.6892E-03, 0.2758E-05, 0.7171E-03, 0.2663E-05, 0.5986E-03, 0.2430E-05,         38.8179,         38.7575,          0.0090,          0.0486,         35.9979,         35.9202,          0.0265,          0.0489,         42.2619,         42.2046,          0.0060,          0.0487
,        1.233333, 0.6886E-03, 0.2796E-05, 0.7176E-03, 0.2700E-05, 0.5986E-03, 0.2463E-05,         38.8181,         38.7582,          0.0091,          0.0493,         35.9982,         35.9209,          0.0269,          0.0495,         42.2619,         42.2052,          0.0060,          0.0494
,        1.250000, 0.6880E-03, 0.2834E-05, 0.7181E-03, 0.2736E-05, 0.5986E-03, 0.2497E-05,         38.8182,         38.7589,          0.0093,          0.0500,         35.9986,         35.9216,          0.0272,          0.0502,         42.2619,         42.2059,          0.0060,          0.0500
,        1.266667, 0.6874E-03, 0.2872E-05, 0.7186E-03, 0.2773E-05, 0.5986E-03, 0.2530E-05,         38.8184,         38.7596,          0.0095,          0.0506,         35.9989,         35.9222,          0.0276,          0.0509,         42.2619,         42.2066,          0.0060,          0.0507
,        1.283333, 0.6868E-03, 0.2909E-05, 0.7191E-03, 0.2809E-05, 0.5986E-03, 0.2563E-05,         38.8185,         38.7602,          0.0096,          0.0513,         35.9993,         35.9229,          0.0279,          0.0515,         42.2619,         42.2072,          0.0060,          0.0514
,        1.300000, 0.6861E-03, 0.2947E-05, 0.7196E-03, 0.2846E-05, 0.5986E-03, 0.2596E-05,         38.8187,         38.7609,          0.0098,          0.0520,         35.9996,         35.9236,          0.0283,          0.0522,         42.2619,         42.2079,          0.0060,          0.0521
,        1.316667, 0.6855E-03, 0.2985E-05, 0.7202E-03, 0.2882E-05, 0.5984E-03, 0.2630E-05,         38.8189,         38.7616,          0.0100,          0.0526,         36.0000,         35.9243,          0.0286,          0.0529,         42.2619,         42.2086,          0.0060,          0.0527
,        1.333333, 0.6849E-03, 0.3023E-05, 0.7211E-03, 0.2919E-05, 0.5978E-03, 0.2663E-05,         38.8190,         38.7622,          0.0101,          0.0533,         36.0003,         35.9249,          0.0290,          0.0536,         42.2619,         42.2093,          0.0060,          0.0534
,        1.350000, 0.6842E-03, 0.3061E-05, 0.7235E-03, 0.2955E-05, 0.5962E-03, 0.2696E-05,         38.8192,         38.7629,          0.0103,          0.0540,         36.0007,         35.9256,          0.0293,          0.0542,         42.2619,         42.2099,          0.0060,          0.0541
,        1.366667, 0.6834E-03, 0.3099E-05, 0.7266E-03, 0.2992E-05, 0.5941E-03, 0.2730E-05,         38.8194,         38.7636,          0.0105,          0.0546,         36.0010,         35.9263,          0.0297,          0.0549,         42.2619,         42.2106,          0.0060,          0.0547
,        1.383333, 0.6817E-03, 0.3137E-05, 0.7273E-03, 0.3028E-05, 0.5916E-03, 0.2763E-05,         38.8196,         38.7642,          0.0107,          0.0553,         36.0014,         35.9269,          0.0300,          0.0556,         42.2619,         42.2113,          0.0060,          0.0554
,        1.400000, 0.6783E-03, 0.3174E-05, 0.7265E-03, 0.3065E-05, 0.5889E-03, 0.2796E-05,         38.8198,         38.7649,          0.0109,          0.0560,         36.0017,         35.9276,          0.0304,          0.0563,         42.2619,         42.2119,          0.0060,          0.0561
,        1.416667, 0.6735E-03, 0.3212E-05, 0.7256E-03, 0.3101E-05, 0.5858E-03, 0.2829E-05,         38.8200,         38.7656,          0.0110,          0.0566,         36.0021,         35.9283,          0.0307,          0.0569,         42.2619,         42.2126,          0.0060,          0.0567
,        1.433333, 0.6681E-03, 0.3250E-05, 0.7246E-03, 0.3138E-05, 0.5821E-03, 0.2863E-05,         38.8201,         38.7662,          0.0112,          0.0573,         36.0024,         35.9290,          0.0311,          0.0576,         42.2619,         42.2133,          0.0060,          0.0574
,        1.450000, 0.6627E-03, 0.3288E-05, 0.7236E-03, 0.3174E-05, 0.5782E-03, 0.2896E-05,         38.8203,         38.7669,          0.0114,          0.0580,         36.0028,         35.9296,          0.0314,          0.0583,         42.2619,         42.2139,          0.0060,          0.0581
,        1.466667, 0.6571E-03, 0.3326E-05, 0.7226E-03, 0.3211E-05, 0.5742E-03, 0.2929E-05,         38.8205,         38.7676,          0.0116,          0.0586,         36.0032,         35.9303,          0.0318,          0.0589,         42.2619,         42.2146,          0.0060,          0.0587
,        1.483333, 0.6512E-03, 0.3364E-05, 0.7217E-03, 0.3247E-05, 0.5701E-03, 0.2963E-05,         38.8207,         38.7682,          0.0118,          0.0593,         36.0035,         35.9310,          0.0321,          0.0596,         42.2619,         42.2153,          0.0060,          0.0594
,        1.500000, 0.6452E-03, 0.3402E-05, 0.7203E-03, 0.3284E-05, 0.5661E-03, 0.2996E-05,         38.8209,         38.7689,          0.0120,          0.0600,         36.0039,         35.9317,          0.0325,          0.0603,         42.2619,         42.2159,          0.0060,          0.0601
,        1.516667, 0.6378E-03, 0.3440E-05, 0.7186E-03, 0.3320E-05, 0.5603E-03, 0.3029E-05,         38.8211,         38.7696,          0.0122,          0.0606,         36.0042,         35.9323,          0.0329,          0.0610,         42.2619,         42.2166,          0.0060,          0.0607
,        1.533333, 0.6304E-03, 0.3477E-05, 0.7170E-03, 0.3357E-05, 0.5533E-03, 0.3062E-05,         38.8213,         38.7702,          0.0124,          0.0613,         36.0046,         35.9330,          0.0332,          0.0616,         42.2619,         42.2173,          0.0060,          0.0614
,        1.550000, 0.6229E-03, 0.3515E-05, 0.7153E-03, 0.3393E-05, 0.5458E-03, 0.3096E-05,         38.8215,         38.7709,          0.0126,          0.0620,         36.0049,         35.9337,          0.0336,          0.0623,         42.2619,         42.2179,          0.0060,          0.0621
,        1.566667, 0.6154E-03, 0.3553E-05, 0.7137E-03, 0.3430E-05, 0.5375E-03, 0.3129E-05,         38.8217,         38.7716,          0.0128,          0.0626,         36.0053,         35.9343,          0.0339,          0.0630,         42.2619,         42.2186,          0.0060,          0.0627
,        1.583333, 0.6079E-03, 0.3591E-05, 0.7122E-03, 0.3466E-05, 0.5286E-03, 0.3162E-05,         38.8219,         38.7722,          0.0130,          0.0633,         36.0056,         35.9350,          0.0343,          0.0637,         42.2619,         42.2193,          0.0060,          0.0634
