"EG05_015","Location","GW flow layer 1","GW flow layer 1","GW flow layer 1","GW Level Layer 1","GW depth layer 1","GW Level Layer 1","GW depth layer 1","GW Level Layer 1","GW depth layer 1"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_015.tcf","Time","Loc1_L","Loc3_L","Loc2_L","Loc1_P","Loc1_P","Loc8_P","Loc8_P","Loc10_P","Loc10_P"
,        1.233333,          0.0000,          0.0000,          0.0000,         38.8162, 0.7328E-02,         35.9788, 0.7481E-02,         42.2632, 0.7351E-02
,        1.250000,          0.0000,          0.0000,          0.0000,         38.8163, 0.7347E-02,         35.9789, 0.7500E-02,         42.2632, 0.7370E-02
,        1.266667,          0.0000,          0.0000,          0.0000,         38.8163, 0.7366E-02,         35.9789, 0.7519E-02,         42.2633, 0.7393E-02
,        1.283333,          0.0000,          0.0000,          0.0000,         38.8163, 0.7385E-02,         35.9789, 0.7542E-02,         42.2633, 0.7412E-02
,        1.300000,          0.0000,          0.0000,          0.0000,         38.8163, 0.7408E-02,         35.9789, 0.7561E-02,         42.2633, 0.7431E-02
,        1.316667,          0.0000,          0.0000,          0.0000,         38.8163, 0.7427E-02,         35.9789, 0.7580E-02,         42.2633, 0.7450E-02
,        1.333333,          0.0000,          0.0000,          0.0000,         38.8164, 0.7446E-02,         35.9790, 0.7599E-02,         42.2633, 0.7473E-02
,        1.350000,          0.0000,          0.0000,          0.0000,         38.8164, 0.7465E-02,         35.9790, 0.7622E-02,         42.2634, 0.7492E-02
,        1.366667,          0.0000,          0.0000,          0.0000,         38.8164, 0.7488E-02,         35.9790, 0.7641E-02,         42.2634, 0.7511E-02
,        1.383333,          0.0000,          0.0000,          0.0000,         38.8164, 0.7507E-02,         35.9790, 0.7660E-02,         42.2634, 0.7530E-02
,        1.400000,          0.0000,          0.0000,          0.0000,         38.8164, 0.7526E-02,         35.9790, 0.7679E-02,         42.2634, 0.7553E-02
,        1.416667,          0.0000,          0.0000,          0.0000,         38.8165, 0.7545E-02,         35.9791, 0.7702E-02,         42.2634, 0.7572E-02
,        1.433333,          0.0000,          0.0000,          0.0000,         38.8165, 0.7568E-02,         35.9791, 0.7721E-02,         42.2635, 0.7591E-02
,        1.450000,          0.0000,          0.0000,          0.0000,         38.8165, 0.7587E-02,         35.9791, 0.7740E-02,         42.2635, 0.7610E-02
,        1.466667,          0.0000,          0.0000,          0.0000,         38.8165, 0.7607E-02,         35.9791, 0.7759E-02,         42.2635, 0.7633E-02
,        1.483333,          0.0000,          0.0000,          0.0000,         38.8165, 0.7626E-02,         35.9791, 0.7778E-02,         42.2635, 0.7652E-02
,        1.500000,          0.0000,          0.0000,          0.0000,         38.8166, 0.7648E-02,         35.9792, 0.7801E-02,         42.2635, 0.7671E-02
,        1.516667,          0.0000,          0.0000,          0.0000,         38.8166, 0.7668E-02,         35.9792, 0.7820E-02,         42.2635, 0.7690E-02
,        1.533333,          0.0000,          0.0000,          0.0000,         38.8166, 0.7687E-02,         35.9792, 0.7839E-02,         42.2636, 0.7713E-02
,        1.550000,          0.0000,          0.0000,          0.0000,         38.8166, 0.7706E-02,         35.9792, 0.7858E-02,         42.2636, 0.7732E-02
,        1.566667,          0.0000,          0.0000,          0.0000,         38.8166, 0.7729E-02,         35.9792, 0.7881E-02,         42.2636, 0.7751E-02
,        1.583333,          0.0000,          0.0000,          0.0000,         38.8167, 0.7748E-02,         35.9793, 0.7900E-02,         42.2636, 0.7771E-02
,        1.600000,          0.0000,          0.0000,          0.0000,         38.8167, 0.7767E-02,         35.9793, 0.7919E-02,         42.2637, 0.7793E-02
,        1.616667,          0.0000,          0.0000,          0.0000,         38.8167, 0.7786E-02,         35.9793, 0.7938E-02,         42.2637, 0.7812E-02
,        1.633333,          0.0000,          0.0000,          0.0000,         38.8167, 0.7809E-02,         35.9793, 0.7961E-02,         42.2637, 0.7832E-02
,        1.650000,          0.0000,          0.0000,          0.0000,         38.8167, 0.7828E-02,         35.9793, 0.7980E-02,         42.2637, 0.7851E-02
,        1.666667,          0.0000,          0.0000,          0.0000,         38.8168, 0.7847E-02,         35.9794, 0.7999E-02,         42.2637, 0.7874E-02
,        1.683333,          0.0000,          0.0000,          0.0000,         38.8168, 0.7866E-02,         35.9794, 0.8018E-02,         42.2638, 0.7893E-02
,        1.700000,          0.0000,          0.0000,          0.0000,         38.8168, 0.7885E-02,         35.9794, 0.8041E-02,         42.2638, 0.7912E-02
,        1.716667,          0.0000,          0.0000,          0.0000,         38.8168, 0.7908E-02,         35.9794, 0.8060E-02,         42.2638, 0.7931E-02
,        1.733333,          0.0000,          0.0000,          0.0000,         38.8168, 0.7927E-02,         35.9794, 0.8080E-02,         42.2638, 0.7954E-02
,        1.750000,          0.0000,          0.0000,          0.0000,         38.8169, 0.7946E-02,         35.9795, 0.8099E-02,         42.2638, 0.7973E-02
,        1.766667,          0.0000,          0.0000,          0.0000,         38.8169, 0.7965E-02,         35.9795, 0.8121E-02,         42.2639, 0.7992E-02
,        1.783333,          0.0000,          0.0000,          0.0000,         38.8169, 0.7988E-02,         35.9795, 0.8141E-02,         42.2639, 0.8011E-02
,        1.800000,          0.0000,          0.0000,          0.0000,         38.8169, 0.8007E-02,         35.9795, 0.8160E-02,         42.2639, 0.8034E-02
,        1.816667,          0.0000,          0.0000,          0.0000,         38.8169, 0.8026E-02,         35.9795, 0.8179E-02,         42.2639, 0.8053E-02
,        1.833333,          0.0000,          0.0000,          0.0000,         38.8170, 0.8045E-02,         35.9796, 0.8202E-02,         42.2639, 0.8072E-02
,        1.850000,          0.0000,          0.0000,          0.0000,         38.8170, 0.8068E-02,         35.9796, 0.8221E-02,         42.2640, 0.8091E-02
,        1.866667,          0.0000,          0.0000,          0.0000,         38.8170, 0.8087E-02,         35.9796, 0.8240E-02,         42.2640, 0.8114E-02
,        1.883333,          0.0000,          0.0000,          0.0000,         38.8170, 0.8106E-02,         35.9796, 0.8259E-02,         42.2640, 0.8133E-02
,        1.900000,          0.0000,          0.0000,          0.0000,         38.8170, 0.8125E-02,         35.9796, 0.8282E-02,         42.2640, 0.8152E-02
,        1.916667,          0.0000,          0.0000,          0.0000,         38.8171, 0.8148E-02,         35.9797, 0.8301E-02,         42.2640, 0.8171E-02
,        1.933333,          0.0000,          0.0000,          0.0000,         38.8171, 0.8167E-02,         35.9797, 0.8320E-02,         42.2641, 0.8194E-02
,        1.950000,          0.0000,          0.0000,          0.0000,         38.8171, 0.8186E-02,         35.9797, 0.8339E-02,         42.2641, 0.8213E-02
,        1.966667,          0.0000,          0.0000,          0.0000,         38.8171, 0.8205E-02,         35.9797, 0.8362E-02,         42.2641, 0.8232E-02
,        1.983333,          0.0000,          0.0000,          0.0000,         38.8171, 0.8228E-02,         35.9797, 0.8381E-02,         42.2641, 0.8251E-02
,        2.000000,          0.0000,          0.0000,          0.0000,         38.8172, 0.8247E-02,         35.9798, 0.8400E-02,         42.2641, 0.8274E-02
,        2.016667,          0.0000,          0.0000,          0.0000,         38.8172, 0.8266E-02,         35.9798, 0.8419E-02,         42.2642, 0.8293E-02
,        2.033333,          0.0000,          0.0000,          0.0000,         38.8172, 0.8286E-02,         35.9798, 0.8442E-02,         42.2642, 0.8312E-02
,        2.050000,          0.0000,          0.0000,          0.0000,         38.8172, 0.8308E-02,         35.9798, 0.8461E-02,         42.2642, 0.8331E-02
,        2.066667,          0.0000,          0.0000,          0.0000,         38.8172, 0.8327E-02,         35.9798, 0.8480E-02,         42.2642, 0.8354E-02
,        2.083333,          0.0000,          0.0000,          0.0000,         38.8173, 0.8347E-02,         35.9799, 0.8499E-02,         42.2642, 0.8373E-02
,        2.100000,          0.0000,          0.0000,          0.0000,         38.8173, 0.8366E-02,         35.9799, 0.8522E-02,         42.2643, 0.8392E-02
,        2.116667,          0.0000,          0.0000,          0.0000,         38.8173, 0.8389E-02,         35.9799, 0.8541E-02,         42.2643, 0.8411E-02
,        2.133333,          0.0000,          0.0000,          0.0000,         38.8173, 0.8408E-02,         35.9799, 0.8560E-02,         42.2643, 0.8434E-02
,        2.150000,          0.0000,          0.0000,          0.0000,         38.8173, 0.8427E-02,         35.9799, 0.8579E-02,         42.2643, 0.8453E-02
,        2.166667,          0.0000,          0.0000,          0.0000,         38.8174, 0.8446E-02,         35.9800, 0.8602E-02,         42.2643, 0.8472E-02
,        2.183333,          0.0000,          0.0000,          0.0000,         38.8174, 0.8469E-02,         35.9800, 0.8621E-02,         42.2644, 0.8492E-02
,        2.200000,          0.0000,          0.0000,          0.0000,         38.8174, 0.8488E-02,         35.9800, 0.8640E-02,         42.2644, 0.8514E-02
,        2.216667,          0.0000,          0.0000,          0.0000,         38.8174, 0.8507E-02,         35.9800, 0.8659E-02,         42.2644, 0.8533E-02
,        2.233333,          0.0000,          0.0000,          0.0000,         38.8174, 0.8526E-02,         35.9800, 0.8682E-02,         42.2644, 0.8553E-02
,        2.250000,          0.0000,          0.0000,          0.0000,         38.8175, 0.8549E-02,         35.9801, 0.8701E-02,         42.2644, 0.8572E-02
,        2.266667,          0.0000,          0.0000,          0.0000,         38.8175, 0.8568E-02,         35.9801, 0.8720E-02,         42.2645, 0.8595E-02
,        2.283333,          0.0000,          0.0000,          0.0000,         38.8175, 0.8587E-02,         35.9801, 0.8739E-02,         42.2645, 0.8614E-02
,        2.300000,          0.0000,          0.0000,          0.0000,         38.8175, 0.8606E-02,         35.9801, 0.8762E-02,         42.2645, 0.8633E-02
,        2.316667,          0.0000,          0.0000,          0.0000,         38.8175, 0.8629E-02,         35.9801, 0.8781E-02,         42.2645, 0.8652E-02
,        2.333333,          0.0000,          0.0000,          0.0000,         38.8176, 0.8648E-02,         35.9802, 0.8801E-02,         42.2645, 0.8675E-02
,        2.350000,          0.0000,          0.0000,          0.0000,         38.8176, 0.8667E-02,         35.9802, 0.8820E-02,         42.2646, 0.8694E-02
,        2.366667,          0.0000,          0.0000,          0.0000,         38.8176, 0.8686E-02,         35.9802, 0.8842E-02,         42.2646, 0.8713E-02
,        2.383333,          0.0000,          0.0000,          0.0000,         38.8176, 0.8709E-02,         35.9802, 0.8862E-02,         42.2646, 0.8732E-02
,        2.400000,          0.0000,          0.0000,          0.0000,         38.8176, 0.8728E-02,         35.9802, 0.8881E-02,         42.2646, 0.8755E-02
,        2.416667,          0.0000,          0.0000,          0.0000,         38.8177, 0.8747E-02,         35.9803, 0.8900E-02,         42.2646, 0.8774E-02
,        2.433333,          0.0000,          0.0000,          0.0000,         38.8177, 0.8770E-02,         35.9803, 0.8923E-02,         42.2647, 0.8793E-02
,        2.450000,          0.0000,          0.0000,          0.0000,         38.8177, 0.8789E-02,         35.9803, 0.8942E-02,         42.2647, 0.8812E-02
,        2.466667,          0.0000,          0.0000,          0.0000,         38.8177, 0.8808E-02,         35.9803, 0.8961E-02,         42.2647, 0.8835E-02
,        2.483333,          0.0000,          0.0000,          0.0000,         38.8177, 0.8827E-02,         35.9803, 0.8980E-02,         42.2647, 0.8854E-02
,        2.500000,          0.0000,          0.0000,          0.0000,         38.8178, 0.8846E-02,         35.9804, 0.9003E-02,         42.2647, 0.8873E-02
,        2.516667,          0.0000,          0.0000,          0.0000,         38.8178, 0.8869E-02,         35.9804, 0.9022E-02,         42.2648, 0.8892E-02
,        2.533333,          0.0000,          0.0000,          0.0000,         38.8178, 0.8888E-02,         35.9804, 0.9041E-02,         42.2648, 0.8915E-02
,        2.550000,          0.0000,          0.0000,          0.0000,         38.8178, 0.8907E-02,         35.9804, 0.9060E-02,         42.2648, 0.8934E-02
,        2.566667,          0.0000,          0.0000,          0.0000,         38.8178, 0.8926E-02,         35.9804, 0.9083E-02,         42.2648, 0.8953E-02
