"EG11_011 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_011.tcf]","Time (h)","H FC01.1_R.1 [EG11_011]","H FC01.1_R.2 [EG11_011]","H FC04.1_C.1 [EG11_011]","H FC04.1_C.2 [EG11_011]","H SP_001.1 [EG11_011]","H SP_001.2 [EG11_011]"
      67,          1.100000,     49.8423,     47.3743,     43.3490,     43.3563,     43.2563,     41.9990
      68,          1.116667,     49.8368,     47.3675,     43.3490,     43.3845,     43.2872,     41.9990
      69,          1.133333,     49.8305,     47.3584,     43.3490,     43.4119,     43.3149,     41.9990
      70,          1.150000,     49.8229,     47.3480,     43.3490,     43.4365,     43.3416,     41.9990
      71,          1.166667,     49.8151,     47.3366,     43.3490,     43.4598,     43.3655,     41.9990
      72,          1.183333,     49.8069,     47.3246,     43.3490,     43.4805,     43.3878,     41.9990
      73,          1.200000,     49.7979,     47.3115,     43.3565,     43.4999,     43.4080,     41.9990
      74,          1.216667,     49.7885,     47.2973,     43.3661,     43.5170,     43.4263,     41.9990
      75,          1.233333,     49.7788,     47.2826,     43.3755,     43.5333,     43.4428,     41.9990
      76,          1.250000,     49.7688,     47.2671,     43.3841,     43.5473,     43.4577,     41.9990
      77,          1.266667,     49.7583,     47.2515,     43.3930,     43.5599,     43.4708,     41.9990
      78,          1.283333,     49.7459,     47.2333,     43.4035,     43.5712,     43.4825,     41.9990
      79,          1.300000,     49.7323,     47.2122,     43.4164,     43.5807,     43.4926,     41.9990
      80,          1.316667,     49.7176,     47.1894,     43.4315,     43.5889,     43.5012,     41.9990
      81,          1.333333,     49.7024,     47.1650,     43.4473,     43.5955,     43.5084,     41.9990
      82,          1.350000,     49.6864,     47.1396,     43.4636,     43.6004,     43.5141,     41.9990
      83,          1.366667,     49.6696,     47.1130,     43.4800,     43.6035,     43.5183,     41.9990
      84,          1.383333,     49.6519,     47.0847,     43.4965,     43.6058,     43.5211,     41.9990
      85,          1.400000,     49.6332,     47.0549,     43.5128,     43.6065,     43.5225,     41.9990
      86,          1.416667,     49.6135,     47.0247,     43.5322,     43.6058,     43.5227,     41.9990
      87,          1.433333,     49.5923,     46.9922,     43.5509,     43.6041,     43.5216,     41.9990
      88,          1.450000,     49.5705,     46.9602,     43.5669,     43.6011,     43.5193,     41.9990
      89,          1.466667,     49.5475,     46.9282,     43.5801,     43.5972,     43.5159,     41.9990
      90,          1.483333,     49.5225,     46.8969,     43.5873,     43.5933,     43.5115,     41.9990
      91,          1.500000,     49.4957,     46.8647,     43.5887,     43.5870,     43.5063,     41.9990
      92,          1.516667,     49.4665,     46.8333,     43.5849,     43.5806,     43.5004,     41.9990
      93,          1.533333,     49.4346,     46.8037,     43.5782,     43.5725,     43.4937,     41.9990
      94,          1.550000,     49.3983,     46.7790,     43.5705,     43.5642,     43.4863,     41.9990
      95,          1.566667,     49.3553,     46.7539,     43.5623,     43.5554,     43.4782,     41.9990
      96,          1.583333,     49.3043,     46.7404,     43.5539,     43.5464,     43.4697,     41.9990
      97,          1.600000,     49.2459,     46.7240,     43.5452,     43.5372,     43.4610,     41.9990
      98,          1.616667,     49.1842,     46.7114,     43.5366,     43.5280,     43.4521,     41.9990
      99,          1.633333,     49.1184,     46.6987,     43.5278,     43.5185,     43.4433,     41.9990
     100,          1.650000,     49.0486,     46.6848,     43.5189,     43.5091,     43.4345,     41.9990
     101,          1.666667,     48.9737,     46.6646,     43.5105,     43.4995,     43.4256,     41.9990
     102,          1.683333,     48.8940,     46.6500,     43.5025,     43.4901,     43.4166,     41.9990
     103,          1.700000,     48.8082,     46.6306,     43.4951,     43.4807,     43.4076,     41.9990
     104,          1.716667,     48.7158,     46.6096,     43.4883,     43.4710,     43.3986,     41.9990
     105,          1.733333,     48.6173,     46.5870,     43.4819,     43.4613,     43.3895,     41.9990
     106,          1.750000,     48.5123,     46.5621,     43.4760,     43.4511,     43.3802,     41.9990
     107,          1.766667,     48.4008,     46.5341,     43.4705,     43.4409,     43.3706,     41.9990
     108,          1.783333,     48.2870,     46.5031,     43.4653,     43.4304,     43.3608,     41.9990
     109,          1.800000,     48.1717,     46.4710,     43.4604,     43.4196,     43.3508,     41.9990
     110,          1.816667,     48.0532,     46.4364,     43.4559,     43.4084,     43.3405,     41.9990
     111,          1.833333,     47.9331,     46.3989,     43.4516,     43.3968,     43.3299,     41.9990
     112,          1.850000,     47.8119,     46.3584,     43.4476,     43.3849,     43.3188,     41.9990
     113,          1.866667,     47.6918,     46.3148,     43.4439,     43.3725,     43.3074,     41.9990
     114,          1.883333,     47.5813,     46.2631,     43.4403,     43.3595,     43.2956,     41.9990
     115,          1.900000,     47.4903,     46.2067,     43.4370,     43.3460,     43.2834,     41.9990
     116,          1.916667,     47.4121,     46.1525,     43.4338,     43.3322,     43.2706,     41.9990
     117,          1.933333,     47.3455,     46.1023,     43.4308,     43.3175,     43.2573,     41.9990
     118,          1.950000,     47.2892,     46.0572,     43.4280,     43.3025,     43.2435,     41.9990
     119,          1.966667,     47.2429,     46.0203,     43.4253,     43.2869,     43.2292,     41.9990
     120,          1.983333,     47.2041,     45.9890,     43.4227,     43.2712,     43.2144,     41.9990
     121,          2.000000,     47.1712,     45.9624,     43.4203,     43.2549,     43.1994,     41.9990
     122,          2.016667,     47.1432,     45.9399,     43.4180,     43.2390,     43.1843,     41.9990
     123,          2.033334,     47.1162,     45.9196,     43.4159,     43.2234,     43.1690,     41.9990
     124,          2.050000,     47.0899,     45.9003,     43.4138,     43.2064,     43.1538,     41.9990
     125,          2.066667,     47.0634,     45.8815,     43.4120,     43.1913,     43.1386,     41.9990
     126,          2.083333,     47.0362,     45.8623,     43.4102,     43.1754,     43.1237,     41.9990
     127,          2.100000,     47.0087,     45.8429,     43.4084,     43.1601,     43.1087,     41.9990
     128,          2.116667,     46.9797,     45.8226,     43.4068,     43.1446,     43.0939,     41.9990
     129,          2.133333,     46.9491,     45.8011,     43.4052,     43.1288,     43.0793,     41.9990
     130,          2.150000,     46.9166,     45.7784,     43.4037,     43.1138,     43.0648,     41.9990
     131,          2.166667,     46.8828,     45.7540,     43.4023,     43.0988,     43.0504,     41.9990
     132,          2.183333,     46.8500,     45.7271,     43.4009,     43.0838,     43.0361,     41.9990
     133,          2.200000,     46.8157,     45.7017,     43.3996,     43.0682,     43.0220,     41.9990
     134,          2.216667,     46.7874,     45.6782,     43.3983,     43.0541,     43.0079,     41.9990
     135,          2.233333,     46.7640,     45.6574,     43.3971,     43.0386,     42.9939,     41.9990
     136,          2.250000,     46.7440,     45.6390,     43.3959,     43.0242,     42.9799,     41.9990
     137,          2.266667,     46.7265,     45.6216,     43.3948,     43.0088,     42.9661,     41.9990
     138,          2.283334,     46.7109,     45.6061,     43.3937,     42.9957,     42.9523,     41.9990
     139,          2.300000,     46.6945,     45.5915,     43.3927,     42.9809,     42.9388,     41.9990
     140,          2.316667,     46.6772,     45.5770,     43.3917,     42.9666,     42.9254,     41.9990
     141,          2.333333,     46.6611,     45.5631,     43.3908,     42.9532,     42.9122,     41.9990
     142,          2.350000,     46.6430,     45.5484,     43.3898,     42.9396,     42.8991,     41.9990
     143,          2.366667,     46.6278,     45.5347,     43.3889,     42.9260,     42.8862,     41.9990
     144,          2.383333,     46.6101,     45.5197,     43.3881,     42.9128,     42.8735,     41.9990
     145,          2.400000,     46.5941,     45.5048,     43.3873,     42.8997,     42.8609,     41.9990
     146,          2.416667,     46.5793,     45.4888,     43.3865,     42.8866,     42.8485,     41.9990
     147,          2.433333,     46.5652,     45.4749,     43.3857,     42.8748,     42.8363,     41.9990
     148,          2.450000,     46.5531,     45.4629,     43.3850,     42.8616,     42.8242,     41.9990
     149,          2.466667,     46.5410,     45.4512,     43.3843,     42.8493,     42.8123,     41.9990
     150,          2.483333,     46.5252,     45.4381,     43.3836,     42.8375,     42.8005,     41.9990
     151,          2.500000,     46.5079,     45.4236,     43.3829,     42.8256,     42.7888,     41.9990
     152,          2.516667,     46.4904,     45.4084,     43.3823,     42.8146,     42.7774,     41.9990
     153,          2.533334,     46.4722,     45.3928,     43.3816,     42.8036,     42.7662,     41.9990
     154,          2.550000,     46.4558,     45.3775,     43.3810,     42.7936,     42.7551,     41.9990
     155,          2.566667,     46.4385,     45.3624,     43.3804,     42.7847,     42.7443,     41.9990
     156,          2.583333,     46.4193,     45.3460,     43.3799,     42.7780,     42.7337,     41.9990
     157,          2.600000,     46.3987,     45.3281,     43.3793,     42.7729,     42.7232,     41.9990
     158,          2.616667,     46.3794,     45.3106,     43.3788,     42.7706,     42.7128,     41.9990
     159,          2.633333,     46.3621,     45.2936,     43.3783,     42.7710,     42.7024,     41.9990
     160,          2.650000,     46.3477,     45.2777,     43.3778,     42.7737,     42.6923,     41.9990
     161,          2.666667,     46.3311,     45.2625,     43.3773,     42.7775,     42.6821,     41.9990
     162,          2.683333,     46.3154,     45.2474,     43.3768,     42.7782,     42.6722,     41.9990
     163,          2.700000,     46.2997,     45.2324,     43.3764,     42.7780,     42.6623,     41.9990
     164,          2.716667,     46.2832,     45.2171,     43.3759,     42.7775,     42.6525,     41.9990
     165,          2.733334,     46.2655,     45.2008,     43.3755,     42.7769,     42.6428,     41.9990
     166,          2.750000,     46.2478,     45.1842,     43.3751,     42.7763,     42.6332,     41.9990
     167,          2.766667,     46.2284,     45.1667,     43.3747,     42.7757,     42.6238,     41.9990
     168,          2.783334,     46.2141,     45.1512,     43.3743,     42.7751,     42.6144,     41.9990
     169,          2.800000,     46.1917,     45.1315,     43.3739,     42.7746,     42.6052,     41.9990
     170,          2.816667,     46.1687,     45.1086,     43.3735,     42.7740,     42.5960,     41.9990
     171,          2.833333,     46.1457,     45.0850,     43.3732,     42.7734,     42.5870,     41.9990
     172,          2.850000,     46.1219,     45.0580,     43.3728,     42.7729,     42.5780,     41.9990
     173,          2.866667,     46.0978,     45.0279,     43.3725,     42.7724,     42.5692,     41.9990
     174,          2.883333,     46.0741,     44.9953,     43.3721,     42.7719,     42.5605,     41.9990
     175,          2.900000,     46.0496,     44.9592,     43.3718,     42.7714,     42.5518,     41.9990
     176,          2.916667,     46.0254,     44.9231,     43.3715,     42.7709,     42.5432,     41.9990
     177,          2.933333,     46.0005,     44.8855,     43.3712,     42.7704,     42.5346,     41.9990
     178,          2.950000,     45.9770,     44.8512,     43.3709,     42.7699,     42.5261,     41.9990
     179,          2.966667,     45.9549,     44.8200,     43.3706,     42.7695,     42.5174,     41.9990
     180,          2.983334,     45.9357,     44.7916,     43.3703,     42.7690,     42.5089,     41.9990
     181,          3.000000,     45.9156,     44.7633,     43.3700,     42.7686,     42.5005,     41.9990
