"EG11_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_002.tcf]","Time (h)","SQ FC04.1 [EG11_002]","SQ FC01.2 [EG11_002]","SQ FC01.1 [EG11_002]"
      91,          1.500000,      0.0000,     74.8108,     47.6419
      92,          1.516667,      0.0000,     73.3007,     46.8844
      93,          1.533333,      0.0000,     71.6771,     45.6525
      94,          1.550000,      0.0000,     69.9400,     43.9137
      95,          1.566667,      0.0000,     68.0818,     42.0451
      96,          1.583333,      0.0000,     66.1075,     40.1256
      97,          1.600000,      0.0000,     64.0235,     37.8666
      98,          1.616667,      0.0000,     61.8147,     35.9071
      99,          1.633333,      0.0000,     59.4847,     35.0193
     100,          1.650000,      0.0000,     57.0375,     33.4597
     101,          1.666667,      0.0000,     54.5582,     32.0865
     102,          1.683333,      0.0000,     52.1186,     30.8664
     103,          1.700000,      0.0000,     49.7627,     29.7181
     104,          1.716667,      0.0000,     47.4703,     28.6430
     105,          1.733333,      0.0000,     45.2841,     27.5800
     106,          1.750000,      0.0000,     43.2223,     26.5327
     107,          1.766667,      0.0000,     41.2968,     25.4854
     108,          1.783333,      0.0000,     39.4449,     24.5627
     109,          1.800000,      0.0000,     37.6921,     23.8171
     110,          1.816667,      0.0000,     36.0607,     23.1843
     111,          1.833333,      0.0000,     34.5273,     22.6017
     112,          1.850000,      0.0000,     33.1121,     22.0647
     113,          1.866667,      0.0000,     31.7487,     21.5703
     114,          1.883333,      0.0000,     30.4631,     21.1237
     115,          1.900000,      0.0000,     29.2218,     20.7081
     116,          1.916667,      0.0000,     28.0591,     20.3178
     117,          1.933333,      0.0000,     26.9933,     19.9489
     118,          1.950000,      0.0000,     26.0184,     19.5974
     119,          1.966667,      0.0000,     25.1229,     19.2734
     120,          1.983333,      0.0000,     24.2981,     18.9741
     121,          2.000000,      0.0000,     23.5845,     18.6958
     122,          2.016667,      0.0000,     22.8962,     18.4329
     123,          2.033334,      0.0000,     22.2654,     18.1424
     124,          2.050000,      0.0000,     21.7064,     17.8207
     125,          2.066667,      0.0000,     21.2005,     17.4644
     126,          2.083333,      0.0000,     20.7418,     17.0891
     127,          2.100000,      0.0000,     20.3322,     16.7019
     128,          2.116667,      0.0000,     19.9494,     16.2847
     129,          2.133333,      0.0000,     19.5988,     15.8309
     130,          2.150000,      0.0000,     19.2607,     15.3769
     131,          2.166667,      0.0000,     18.9281,     14.8474
     132,          2.183333,      0.0000,     18.5943,     14.3019
     133,          2.200000,      0.0000,     18.2542,     13.8015
     134,          2.216667,      0.0000,     17.9155,     13.3996
     135,          2.233333,      0.0000,     17.5830,     13.0745
     136,          2.250000,      0.0000,     17.2034,     12.8081
     137,          2.266667,      0.0000,     16.8248,     12.5903
     138,          2.283334,      0.0000,     16.4447,     12.3974
     139,          2.300000,      0.0000,     16.0601,     12.1635
     140,          2.316667,      0.0000,     15.6881,     11.8950
     141,          2.333333,      0.0000,     15.3098,     11.6531
     142,          2.350000,      0.0000,     14.9358,     11.4244
     143,          2.366667,      0.0000,     14.5907,     11.1999
     144,          2.383333,      0.0000,     14.3026,     10.9830
     145,          2.400000,      0.0000,     13.9831,     10.7956
     146,          2.416667,      0.0000,     13.6751,     10.6059
     147,          2.433333,      0.0000,     13.3822,     10.4377
     148,          2.450000,      0.0000,     13.1064,     10.2485
     149,          2.466667,      0.0000,     12.8476,     10.0491
     150,          2.483333,      0.0000,     12.5984,      9.8412
     151,          2.500000,      0.0000,     12.3607,      9.6548
     152,          2.516667,      0.0000,     12.1385,      9.4183
     153,          2.533334,      0.0000,     11.9067,      9.2132
     154,          2.550000,      0.0000,     11.7044,      8.9585
     155,          2.566667,      0.0000,     11.5197,      8.7132
     156,          2.583333,      0.0000,     11.3189,      8.4708
     157,          2.600000,      0.0000,     11.1223,      8.2766
     158,          2.616667,      0.0000,     10.9105,      8.0291
     159,          2.633333,      0.0000,     10.7918,      7.8019
     160,          2.650000,      0.0000,      7.8445,      7.5924
     161,          2.666667,      0.0000,     16.6718,      7.4004
     162,          2.683333,      0.0000,      5.3717,      7.2162
     163,          2.700000,      0.0000,     14.6123,      7.0379
     164,          2.716667,      0.0000,     14.5613,      6.9136
     165,          2.733334,      0.0000,     16.7257,      6.6968
     166,          2.750000,      0.0000,     16.6847,      6.4727
     167,          2.766667,      0.0000,     16.3152,      6.2510
     168,          2.783334,      0.0000,      3.1243,      6.0192
     169,          2.800000,      0.0000,     15.5032,      5.7761
     170,          2.816667,      0.0000,     -1.8114,      5.5303
     171,          2.833333,      0.0000,     16.7567,      5.2851
     172,          2.850000,      0.0000,     12.5491,      5.0351
     173,          2.866667,      0.0000,     16.1623,      4.7886
     174,          2.883333,      0.0000,     12.1340,      4.5409
     175,          2.900000,      0.0000,      1.9378,      4.2901
     176,          2.916667,      0.0000,     15.7186,      4.0512
     177,          2.933333,      0.0000,      0.7265,      3.8209
     178,          2.950000,      0.0000,     11.2456,      3.5997
     179,          2.966667,      0.0000,     11.4781,      3.4101
     180,          2.983334,      0.0000,     11.2164,      3.2372
     181,          3.000000,      0.0000,     11.5795,      3.0539
