"EG11_012 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_012.tcf]","Time (h)","SQ FC04.1_C [EG11_012]","SQ arch_bridge [EG11_012]","SQ FC01.1_R [EG11_012]"
     161,          2.666667,      0.0000,     10.2283,      7.4436
     162,          2.683333,      0.0000,     10.0157,      7.2528
     163,          2.700000,      0.0000,      9.7832,      7.0708
     164,          2.716667,      0.0000,      9.5519,      6.8770
     165,          2.733334,      0.0000,      9.3398,      6.6708
     166,          2.750000,      0.0000,      9.1252,      6.4642
     167,          2.766667,      0.0000,      8.9319,      6.2474
     168,          2.783334,      0.0000,      8.7748,      6.0756
     169,          2.800000,      0.0000,      8.5433,      5.8347
     170,          2.816667,      0.0000,      8.3038,      5.5834
     171,          2.833333,      0.0000,      8.0761,      5.3341
     172,          2.850000,      0.0000,      7.8774,      5.0827
     173,          2.866667,      0.0000,      7.7099,      4.8299
     174,          2.883333,      0.0000,      7.5289,      4.5850
     175,          2.900000,      0.0000,      7.3282,      4.3366
     176,          2.916667,      0.0000,      7.1244,      4.0958
     177,          2.933333,      0.0000,      6.9149,      3.8520
     178,          2.950000,      0.0000,      6.7225,      3.6320
     179,          2.966667,      0.0000,      6.5460,      3.4360
     180,          2.983334,      0.0000,      6.3132,      3.2511
     181,          3.000000,      0.0000,      6.1685,      3.0649
