"EG11_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_010.tcf]","Time (h)","SQ FC04.1_C [EG11_010]","SQ SG_001 [EG11_010]","SQ FC01.1_R [EG11_010]"
     145,          2.400000,      0.3643,     32.7563,     10.8211
     146,          2.416667,      0.3625,     32.6793,     10.6153
     147,          2.433333,      0.3503,     32.6016,     10.4222
     148,          2.450000,      0.3472,     32.5226,     10.2618
     149,          2.466667,      0.3417,     32.4422,     10.0980
     150,          2.483333,      0.3318,     32.3607,      9.8901
     151,          2.500000,      0.3251,     32.2777,      9.6642
     152,          2.516667,      0.3235,     32.1942,      9.4344
     153,          2.533334,      0.3168,     32.1094,      9.1994
     154,          2.550000,      0.3089,     32.0237,      8.9887
     155,          2.566667,      0.3005,     31.9363,      8.7686
     156,          2.583333,      0.2914,     31.8483,      8.5277
     157,          2.600000,      0.2709,     31.7588,      8.2714
     158,          2.616667,      0.2428,     31.6679,      8.0316
     159,          2.633333,      0.2182,     31.5754,      7.8193
     160,          2.650000,      0.1967,     31.4814,      7.6437
     161,          2.666667,      0.1776,     31.3860,      7.4450
     162,          2.683333,      0.1607,     31.2894,      7.2563
     163,          2.700000,      0.1457,     31.1910,      7.0710
     164,          2.716667,      0.1324,     31.0916,      6.8774
     165,          2.733334,      0.1205,     30.9904,      6.6725
     166,          2.750000,      0.1101,     30.8886,      6.4682
     167,          2.766667,      0.1007,     30.7859,      6.2474
     168,          2.783334,      0.0923,     30.6813,      6.0899
     169,          2.800000,      0.0848,     30.5744,      5.8380
     170,          2.816667,      0.0781,     30.4660,      5.5858
     171,          2.833333,      0.0720,     30.3578,      5.3356
     172,          2.850000,      0.0665,     30.2471,      5.0825
     173,          2.866667,      0.0616,     30.1349,      4.8309
     174,          2.883333,      0.0571,     30.0201,      4.5869
     175,          2.900000,      0.0530,     29.9044,      4.3390
     176,          2.916667,      0.0493,     29.7869,      4.0981
     177,          2.933333,      0.0459,     29.6677,      3.8553
     178,          2.950000,      0.0428,     29.5466,      3.6324
     179,          2.966667,      0.0399,     29.4222,      3.4249
     180,          2.983334,      0.0373,     29.2969,      3.2496
     181,          3.000000,      0.0349,     29.1699,      3.0672
