"EG11_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_008.tcf]","Time (h)","H FC01.1_R.1 [EG11_008]","H FC01.1_R.2 [EG11_008]","H FC01.2_R.1 [EG11_008]","H FC01.2_R.2 [EG11_008]","H FC04.1_C.1 [EG11_008]","H FC04.1_C.2 [EG11_008]","H W999.1 [EG11_008]","H W999.2 [EG11_008]"
     103,          1.700000,     48.8082,     46.6306,     42.6818,     40.3777,     43.3490,     42.8320,     42.7241,     42.5960
     104,          1.716667,     48.7158,     46.6096,     42.6732,     40.3666,     43.3490,     42.8240,     42.7156,     42.5960
     105,          1.733333,     48.6173,     46.5869,     42.6646,     40.3562,     43.3490,     42.8154,     42.7072,     42.5960
     106,          1.750000,     48.5122,     46.5621,     42.6558,     40.3461,     43.3490,     42.8070,     42.6985,     42.5960
     107,          1.766667,     48.4007,     46.5341,     42.6467,     40.3367,     43.3490,     42.7980,     42.6895,     42.5960
     108,          1.783333,     48.2869,     46.5030,     42.6372,     40.3277,     43.3490,     42.7887,     42.6801,     42.5960
     109,          1.800000,     48.1716,     46.4709,     42.6272,     40.3191,     43.3490,     42.7791,     42.6702,     42.5960
     110,          1.816667,     48.0531,     46.4364,     42.6165,     40.3111,     43.3490,     42.7690,     42.6597,     42.5960
     111,          1.833333,     47.9330,     46.3989,     42.6051,     40.3035,     43.3490,     42.7584,     42.6484,     42.5960
     112,          1.850000,     47.8118,     46.3583,     42.5928,     40.2964,     43.3490,     42.7490,     42.6362,     42.5960
     113,          1.866667,     47.6917,     46.3148,     42.5795,     40.2900,     43.3490,     42.7490,     42.6230,     42.5960
     114,          1.883333,     47.5811,     46.2631,     42.5650,     40.2843,     43.3490,     42.7490,     42.6086,     42.5960
     115,          1.900000,     47.4902,     46.2066,     42.5492,     40.2798,     43.3490,     42.7490,     42.5960,     42.5960
     116,          1.916667,     47.4120,     46.1524,     42.5320,     40.2759,     43.3490,     42.7490,     42.5960,     42.5960
     117,          1.933333,     47.3454,     46.1022,     42.5134,     40.2721,     43.3490,     42.7490,     42.5960,     42.5960
     118,          1.950000,     47.2891,     46.0571,     42.4930,     40.2683,     43.3490,     42.7490,     42.5960,     42.5960
     119,          1.966667,     47.2428,     46.0202,     42.4710,     40.2644,     43.3490,     42.7490,     42.5960,     42.5960
     120,          1.983333,     47.2040,     45.9889,     42.4473,     40.2603,     43.3490,     42.7490,     42.5960,     42.5960
     121,          2.000000,     47.1711,     45.9622,     42.4220,     40.2560,     43.3490,     42.7490,     42.5960,     42.5960
