"EG11_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_007.tcf]","Time (h)","H FC01.1.1 [EG11_007]","H FC01.1.2 [EG11_007]","H FC01.2.1 [EG11_007]","H FC01.2.2 [EG11_007]","H FC04.1.1 [EG11_007]","H FC04.1.2 [EG11_007]"
      45,          0.733333,     49.4942,     47.1705,     40.7537,     39.6490,     44.5490,     44.5490
      46,          0.750000,     49.5190,     47.2009,     40.9166,     39.6490,     44.5490,     44.5490
      47,          0.766667,     49.5393,     47.2257,     41.0725,     39.6490,     44.5490,     44.5490
      48,          0.783333,     49.5529,     47.2436,     41.2369,     39.8000,     44.5490,     44.5490
      49,          0.800000,     49.5626,     47.2565,     41.3971,     39.9340,     44.5490,     44.5490
      50,          0.816667,     49.5701,     47.2665,     41.5441,     40.0491,     44.5490,     44.5490
      51,          0.833333,     49.5762,     47.2746,     41.6725,     40.1502,     44.5490,     44.5490
      52,          0.850000,     49.5813,     47.2813,     41.7832,     40.2355,     44.5490,     44.5490
      53,          0.866667,     49.5846,     47.2864,     41.8779,     40.3060,     44.5490,     44.5490
      54,          0.883333,     49.5870,     47.2897,     41.9593,     40.3644,     44.5490,     44.5490
      55,          0.900000,     49.5889,     47.2923,     42.0301,     40.4124,     44.5490,     44.5490
      56,          0.916667,     49.5906,     47.2944,     42.0922,     40.4516,     44.5490,     44.5490
      57,          0.933333,     49.5920,     47.2963,     42.1469,     40.4838,     44.5490,     44.5490
      58,          0.950000,     49.5925,     47.2973,     42.1956,     40.5107,     44.5490,     44.5490
      59,          0.966667,     49.5924,     47.2975,     42.2399,     40.5334,     44.5490,     44.5490
      60,          0.983333,     49.5921,     47.2973,     42.2806,     40.5529,     44.5490,     44.5490
      61,          1.000000,     49.5917,     47.2968,     42.3178,     40.5698,     44.5490,     44.5490
      62,          1.016667,     49.5910,     47.2961,     42.3519,     40.5846,     44.5490,     44.5490
      63,          1.033333,     49.5892,     47.2944,     42.3840,     40.5978,     44.5490,     44.5490
      64,          1.050000,     49.5867,     47.2917,     42.4167,     40.6105,     44.5490,     44.5490
      65,          1.066667,     49.5839,     47.2885,     42.4479,     40.6224,     44.5490,     44.5490
      66,          1.083333,     49.5809,     47.2849,     42.4767,     40.6334,     44.5490,     44.5490
      67,          1.100000,     49.5773,     47.2809,     42.5033,     40.6434,     44.5490,     44.5490
      68,          1.116667,     49.5709,     47.2744,     42.5279,     40.6539,     44.5490,     44.5490
      69,          1.133333,     49.5629,     47.2656,     42.5499,     40.6649,     44.5490,     44.5490
      70,          1.150000,     49.5538,     47.2556,     42.5692,     40.6765,     44.5490,     44.5490
      71,          1.166667,     49.5439,     47.2453,     42.5860,     40.6884,     44.5490,     44.5490
      72,          1.183333,     49.5336,     47.2342,     42.6000,     40.6998,     44.5490,     44.5490
      73,          1.200000,     49.5221,     47.2219,     42.6115,     40.7102,     44.5490,     44.5490
      74,          1.216667,     49.5100,     47.2087,     42.6205,     40.7191,     44.5490,     44.5490
      75,          1.233333,     49.4973,     47.1949,     42.6273,     40.7265,     44.5490,     44.5490
      76,          1.250000,     49.4841,     47.1807,     42.6320,     40.7323,     44.5490,     44.5490
      77,          1.266667,     49.4700,     47.1669,     42.6349,     40.7362,     44.5490,     44.5490
      78,          1.283333,     49.4534,     47.1509,     42.6360,     40.7385,     44.5490,     44.5490
      79,          1.300000,     49.4348,     47.1331,     42.6356,     40.7393,     44.5490,     44.5490
      80,          1.316667,     49.4150,     47.1133,     42.6338,     40.7388,     44.5490,     44.5490
      81,          1.333333,     49.3931,     47.0931,     42.6307,     40.7370,     44.5490,     44.5490
      82,          1.350000,     49.3699,     47.0725,     42.6261,     40.7339,     44.5490,     44.5490
      83,          1.366667,     49.3450,     47.0512,     42.6201,     40.7294,     44.5490,     44.5490
      84,          1.383333,     49.3212,     47.0490,     42.6129,     40.7239,     44.5490,     44.5490
      85,          1.400000,     49.2968,     47.0490,     42.6044,     40.7176,     44.5490,     44.5490
      86,          1.416667,     49.2714,     47.0490,     42.5947,     40.7103,     44.5490,     44.5490
      87,          1.433333,     49.2437,     47.0490,     42.5836,     40.7024,     44.5490,     44.5490
      88,          1.450000,     49.2165,     47.0490,     42.5711,     40.6936,     44.5490,     44.5490
      89,          1.466667,     49.1883,     47.0490,     42.5571,     40.6847,     44.5490,     44.5490
      90,          1.483333,     49.1595,     47.0490,     42.5416,     40.6759,     44.5490,     44.5490
      91,          1.500000,     49.1299,     47.0490,     42.5245,     40.6674,     44.5490,     44.5490
      92,          1.516667,     49.0997,     47.0490,     42.5059,     40.6589,     44.5490,     44.5490
      93,          1.533333,     49.0627,     47.0490,     42.4854,     40.6515,     44.5490,     44.5490
      94,          1.550000,     49.0256,     47.0490,     42.4633,     40.6439,     44.5490,     44.5490
      95,          1.566667,     48.9903,     47.0490,     42.4395,     40.6358,     44.5490,     44.5490
      96,          1.583333,     48.9543,     47.0490,     42.4145,     40.6274,     44.5490,     44.5490
      97,          1.600000,     48.9138,     47.0490,     42.3883,     40.6185,     44.5490,     44.5490
      98,          1.616667,     48.8779,     47.0490,     42.3605,     40.6090,     44.5490,     44.5490
      99,          1.633333,     48.8454,     47.0490,     42.3309,     40.5988,     44.5490,     44.5490
     100,          1.650000,     48.8162,     47.0490,     42.2999,     40.5880,     44.5490,     44.5490
     101,          1.666667,     48.7888,     47.0490,     42.2673,     40.5766,     44.5490,     44.5490
     102,          1.683333,     48.7636,     47.0490,     42.2332,     40.5645,     44.5490,     44.5490
     103,          1.700000,     48.7336,     47.0490,     42.1977,     40.5517,     44.5490,     44.5490
     104,          1.716667,     48.7037,     47.0490,     42.1607,     40.5381,     44.5490,     44.5490
     105,          1.733333,     48.6745,     47.0490,     42.1223,     40.5238,     44.5490,     44.5490
     106,          1.750000,     48.6444,     47.0490,     42.0825,     40.5086,     44.5490,     44.5490
     107,          1.766667,     48.6163,     47.0490,     42.0417,     40.4926,     44.5490,     44.5490
     108,          1.783333,     48.5909,     47.0490,     41.9999,     40.4759,     44.5490,     44.5490
     109,          1.800000,     48.5683,     47.0490,     41.9568,     40.4583,     44.5490,     44.5490
     110,          1.816667,     48.5476,     47.0490,     41.9119,     40.4396,     44.5490,     44.5490
     111,          1.833333,     48.5288,     47.0490,     41.8655,     40.4196,     44.5490,     44.5490
     112,          1.850000,     48.5112,     47.0490,     41.8175,     40.3984,     44.5490,     44.5490
     113,          1.866667,     48.4951,     47.0490,     41.7679,     40.3758,     44.5490,     44.5490
     114,          1.883333,     48.4802,     47.0490,     41.7164,     40.3514,     44.5490,     44.5490
     115,          1.900000,     48.4661,     47.0490,     41.6640,     40.3253,     44.5490,     44.5490
     116,          1.916667,     48.4527,     47.0490,     41.6111,     40.2974,     44.5490,     44.5490
     117,          1.933333,     48.4397,     47.0490,     41.5576,     40.2677,     44.5490,     44.5490
     118,          1.950000,     48.4277,     47.0490,     41.5037,     40.2363,     44.5490,     44.5490
     119,          1.966667,     48.4165,     47.0490,     41.4494,     40.2033,     44.5490,     44.5490
     120,          1.983333,     48.4058,     47.0490,     41.3946,     40.1686,     44.5490,     44.5490
     121,          2.000000,     48.3956,     47.0490,     41.3396,     40.1319,     44.5490,     44.5490
     122,          2.016667,     48.3857,     47.0490,     41.2846,     40.0926,     44.5490,     44.5490
     123,          2.033334,     48.3748,     47.0490,     41.2305,     40.0512,     44.5490,     44.5490
     124,          2.050000,     48.3632,     47.0490,     41.1775,     40.0084,     44.5490,     44.5490
     125,          2.066667,     48.3510,     47.0490,     41.1250,     39.9649,     44.5490,     44.5490
     126,          2.083333,     48.3383,     47.0490,     41.0742,     39.9214,     44.5490,     44.5490
     127,          2.100000,     48.3248,     47.0490,     41.0239,     39.8777,     44.5490,     44.5490
     128,          2.116667,     48.3096,     47.0490,     40.9750,     39.8343,     44.5490,     44.5490
     129,          2.133333,     48.2928,     47.0490,     40.9287,     39.7917,     44.5490,     44.5490
     130,          2.150000,     48.2727,     47.0490,     40.8844,     39.7497,     44.5490,     44.5490
     131,          2.166667,     48.2528,     47.0490,     40.8426,     39.7091,     44.5490,     44.5490
     132,          2.183333,     48.2310,     47.0490,     40.8033,     39.6708,     44.5490,     44.5490
     133,          2.200000,     48.2119,     47.0490,     40.7675,     39.6490,     44.5490,     44.5490
     134,          2.216667,     48.1951,     47.0490,     40.7364,     39.6490,     44.5490,     44.5490
     135,          2.233333,     48.1798,     47.0490,     40.7096,     39.6490,     44.5490,     44.5490
     136,          2.250000,     48.1658,     47.0490,     40.6858,     39.6490,     44.5490,     44.5490
     137,          2.266667,     48.1528,     47.0490,     40.6639,     39.6490,     44.5490,     44.5490
     138,          2.283334,     48.1400,     47.0490,     40.6439,     39.6490,     44.5490,     44.5490
     139,          2.300000,     48.1273,     47.0490,     40.6255,     39.6490,     44.5490,     44.5490
     140,          2.316667,     48.1147,     47.0490,     40.6083,     39.6490,     44.5490,     44.5490
     141,          2.333333,     48.1022,     47.0490,     40.5922,     39.6490,     44.5490,     44.5490
     142,          2.350000,     48.0896,     47.0490,     40.5766,     39.6490,     44.5490,     44.5490
     143,          2.366667,     48.0778,     47.0490,     40.5614,     39.6490,     44.5490,     44.5490
     144,          2.383333,     48.0667,     47.0490,     40.5470,     39.6490,     44.5490,     44.5490
     145,          2.400000,     48.0560,     47.0490,     40.5335,     39.6490,     44.5490,     44.5490
     146,          2.416667,     48.0457,     47.0490,     40.5207,     39.6490,     44.5490,     44.5490
     147,          2.433333,     48.0362,     47.0490,     40.5083,     39.6490,     44.5490,     44.5490
     148,          2.450000,     48.0256,     47.0490,     40.4965,     39.6490,     44.5490,     44.5490
     149,          2.466667,     48.0145,     47.0490,     40.4848,     39.6490,     44.5490,     44.5490
     150,          2.483333,     48.0032,     47.0490,     40.4736,     39.6490,     44.5490,     44.5490
     151,          2.500000,     47.9913,     47.0490,     40.4626,     39.6490,     44.5490,     44.5490
     152,          2.516667,     47.9791,     47.0490,     40.4521,     39.6490,     44.5490,     44.5490
     153,          2.533334,     47.9665,     47.0490,     40.4419,     39.6490,     44.5490,     44.5490
     154,          2.550000,     47.9531,     47.0490,     40.4321,     39.6490,     44.5490,     44.5490
     155,          2.566667,     47.9398,     47.0490,     40.4227,     39.6490,     44.5490,     44.5490
     156,          2.583333,     47.9262,     47.0490,     40.4134,     39.6490,     44.5490,     44.5490
     157,          2.600000,     47.9117,     47.0490,     40.4041,     39.6490,     44.5490,     44.5490
     158,          2.616667,     47.8982,     47.0490,     40.3954,     39.6490,     44.5490,     44.5490
     159,          2.633333,     47.8851,     47.0490,     40.3869,     39.6490,     44.5490,     44.5490
     160,          2.650000,     47.8724,     47.0490,     40.3785,     39.6490,     44.5490,     44.5490
     161,          2.666667,     47.8600,     47.0490,     40.3698,     39.6490,     44.5490,     44.5490
     162,          2.683333,     47.8480,     47.0490,     40.3611,     39.6490,     44.5490,     44.5490
     163,          2.700000,     47.8353,     47.0490,     40.3521,     39.6490,     44.5490,     44.5490
     164,          2.716667,     47.8220,     47.0490,     40.3432,     39.6490,     44.5490,     44.5490
     165,          2.733334,     47.8081,     47.0490,     40.3342,     39.6490,     44.5490,     44.5490
     166,          2.750000,     47.7938,     47.0490,     40.3252,     39.6490,     44.5490,     44.5490
     167,          2.766667,     47.7791,     47.0490,     40.3162,     39.6490,     44.5490,     44.5490
     168,          2.783334,     47.7637,     47.0490,     40.3072,     39.6490,     44.5490,     44.5490
     169,          2.800000,     47.7478,     47.0490,     40.2981,     39.6490,     44.5490,     44.5490
     170,          2.816667,     47.7313,     47.0490,     40.2890,     39.6490,     44.5490,     44.5490
     171,          2.833333,     47.7143,     47.0490,     40.2798,     39.6490,     44.5490,     44.5490
     172,          2.850000,     47.6967,     47.0490,     40.2704,     39.6490,     44.5490,     44.5490
     173,          2.866667,     47.6790,     47.0490,     40.2610,     39.6490,     44.5490,     44.5490
     174,          2.883333,     47.6613,     47.0490,     40.2517,     39.6490,     44.5490,     44.5490
     175,          2.900000,     47.6434,     47.0490,     40.2424,     39.6490,     44.5490,     44.5490
     176,          2.916667,     47.6252,     47.0490,     40.2335,     39.6490,     44.5490,     44.5490
     177,          2.933333,     47.6069,     47.0490,     40.2247,     39.6490,     44.5490,     44.5490
     178,          2.950000,     47.5895,     47.0490,     40.2158,     39.6490,     44.5490,     44.5490
     179,          2.966667,     47.5728,     47.0490,     40.2064,     39.6490,     44.5490,     44.5490
     180,          2.983334,     47.5566,     47.0490,     40.1970,     39.6490,     44.5490,     44.5490
     181,          3.000000,     47.5410,     47.0490,     40.1875,     39.6490,     44.5490,     44.5490
