"EG11_009 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_009.tcf]","Time (h)","H FC01.1_R.1 [EG11_009]","H FC01.1_R.2 [EG11_009]","H FC01.2_R.1 [EG11_009]","H FC01.2_R.2 [EG11_009]","H FC04.1_C.1 [EG11_009]","H FC04.1_C.2 [EG11_009]","H OC999.8 [EG11_009]","H OC999.9 [EG11_009]"
      72,          1.183333,     49.8069,     47.3246,     42.5054,     40.6308,     43.3490,     42.8833,     42.3353,     42.5951
      73,          1.200000,     49.7979,     47.3115,     42.5279,     40.6352,     43.3490,     42.8896,     42.3384,     42.6178
      74,          1.216667,     49.7885,     47.2973,     42.5480,     40.6392,     43.3490,     42.8964,     42.3414,     42.6380
      75,          1.233333,     49.7788,     47.2826,     42.5656,     40.6426,     43.3490,     42.9023,     42.3444,     42.6557
      76,          1.250000,     49.7688,     47.2671,     42.5810,     40.6456,     43.3490,     42.9070,     42.3473,     42.6711
      77,          1.266667,     49.7583,     47.2515,     42.5941,     40.6482,     43.3490,     42.9108,     42.3503,     42.6843
      78,          1.283333,     49.7459,     47.2333,     42.6051,     40.6503,     43.3490,     42.9137,     42.3532,     42.6953
      79,          1.300000,     49.7323,     47.2122,     42.6140,     40.6521,     43.3490,     42.9156,     42.3560,     42.7042
      80,          1.316667,     49.7176,     47.1894,     42.6209,     40.6535,     43.3490,     42.9164,     42.3589,     42.7112
      81,          1.333333,     49.7024,     47.1650,     42.6257,     40.6546,     43.3490,     42.9160,     42.3617,     42.7160
      82,          1.350000,     49.6864,     47.1396,     42.6283,     40.6553,     43.3490,     42.9133,     42.3645,     42.7187
      83,          1.366667,     49.6696,     47.1130,     42.6287,     40.6556,     43.3490,     42.9096,     42.3672,     42.7191
      84,          1.383333,     49.6519,     47.0847,     42.6269,     40.6554,     43.3490,     42.9041,     42.3700,     42.7173
      85,          1.400000,     49.6332,     47.0549,     42.6228,     40.6550,     43.3490,     42.8979,     42.3727,     42.7132
      86,          1.416667,     49.6134,     47.0248,     42.6166,     40.6541,     43.3490,     42.8893,     42.3754,     42.7071
      87,          1.433333,     49.5923,     46.9922,     42.6083,     40.6528,     43.3490,     42.8807,     42.3780,     42.6988
      88,          1.450000,     49.5705,     46.9602,     42.5979,     40.6512,     43.3490,     42.8690,     42.3807,     42.6885
      89,          1.466667,     49.5474,     46.9282,     42.5854,     40.6492,     43.3490,     42.8563,     42.3833,     42.6760
      90,          1.483333,     49.5225,     46.8969,     42.5708,     40.6469,     43.3490,     42.8428,     42.3859,     42.6614
      91,          1.500000,     49.4957,     46.8647,     42.5542,     40.6441,     43.3490,     42.8279,     42.3885,     42.6449
      92,          1.516667,     49.4665,     46.8332,     42.5357,     40.6410,     43.3490,     42.8119,     42.3910,     42.6264
      93,          1.533333,     49.4346,     46.8037,     42.5154,     40.6376,     43.3490,     42.7946,     42.3936,     42.6060
