"EG11_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_008.tcf]","Time(h)","V FC01.1_R [EG11_008]","V FC01.2_R [EG11_008]","V FC04.1_C [EG11_008]","V W999 [EG11_008]"
     168,          2.783334,    2.307,    1.033,    0.000,    0.000
     169,          2.800000,    2.275,    1.013,    0.000,    0.000
     170,          2.816667,    2.242,    0.982,    0.000,    0.000
     171,          2.833333,    2.208,    0.954,    0.000,    0.000
     172,          2.850000,    2.173,    0.927,    0.000,    0.000
     173,          2.866667,    2.136,    0.905,    0.000,    0.000
     174,          2.883333,    2.100,    0.901,    0.000,    0.000
     175,          2.900000,    2.061,    0.895,    0.000,    0.000
     176,          2.916667,    2.022,    0.887,    0.000,    0.000
     177,          2.933333,    1.981,    0.880,    0.000,    0.000
     178,          2.950000,    1.943,    0.872,    0.000,    0.000
     179,          2.966667,    1.907,    0.867,    0.000,    0.000
     180,          2.983334,    1.872,    0.858,    0.000,    0.000
     181,          3.000000,    1.836,    0.858,    0.000,    0.000
