"EG11_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_008.tcf]","Time (h)","Q FC01.1_R [EG11_008]","Q FC01.2_R [EG11_008]","Q FC04.1_C [EG11_008]","Q W999 [EG11_008]"
     158,          2.616667,           8.029,          14.716,           0.000,           0.000
     159,          2.633333,           7.819,          13.053,           0.000,           0.000
     160,          2.650000,           7.643,          12.107,           0.000,           0.000
     161,          2.666667,           7.442,          11.425,           0.000,           0.000
     162,          2.683333,           7.253,          10.931,           0.000,           0.000
     163,          2.700000,           7.070,          10.473,           0.000,           0.000
     164,          2.716667,           6.876,          10.084,           0.000,           0.000
     165,          2.733334,           6.670,           9.804,           0.000,           0.000
     166,          2.750000,           6.465,           9.471,           0.000,           0.000
     167,          2.766667,           6.247,           9.190,           0.000,           0.000
     168,          2.783334,           6.082,           8.929,           0.000,           0.000
     169,          2.800000,           5.835,           8.749,           0.000,           0.000
     170,          2.816667,           5.582,           8.483,           0.000,           0.000
     171,          2.833333,           5.333,           8.241,           0.000,           0.000
     172,          2.850000,           5.082,           8.012,           0.000,           0.000
     173,          2.866667,           4.830,           7.798,           0.000,           0.000
     174,          2.883333,           4.585,           7.609,           0.000,           0.000
     175,          2.900000,           4.336,           7.422,           0.000,           0.000
     176,          2.916667,           4.095,           7.217,           0.000,           0.000
     177,          2.933333,           3.852,           7.011,           0.000,           0.000
     178,          2.950000,           3.631,           6.809,           0.000,           0.000
     179,          2.966667,           3.435,           6.636,           0.000,           0.000
     180,          2.983334,           3.251,           6.420,           0.000,           0.000
     181,          3.000000,           3.067,           6.275,           0.000,           0.000
