"M04_5m_001","Location","Flow","Structure Flow","Water Level","Velocity","U/S Structure Water Level","D/S Structure Water Level"
"q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_04\Complete_Model\TUFLOW\runs\M04_5m_001.tcf","Time","Loc1_L","Bridge","Loc1_P","Loc1_P","Bridge","Bridge"
,        1.766667,         31.8180,         35.6551,         41.7337,          0.8231,         40.0964,         40.0484
,        1.783333,         30.8306,         34.6936,         41.7115,          0.8211,         40.0602,         40.0139
,        1.800000,         29.8372,         33.4043,         41.6892,          0.8189,         40.0240,         39.9793
,        1.816667,         28.9272,         32.3278,         41.6649,          0.8202,         39.9882,         39.9451
,        1.833333,         28.0756,         31.4706,         41.6396,          0.8224,         39.9531,         39.9115
,        1.850000,         27.2313,         30.4238,         41.6145,          0.8235,         39.9185,         39.8786
,        1.866667,         26.4528,         29.4983,         41.5898,          0.8248,         39.8848,         39.8465
,        1.883333,         25.7202,         28.4373,         41.5650,          0.8264,         39.8513,         39.8146
,        1.900000,         25.0844,         27.5384,         41.5422,          0.8279,         39.8182,         39.7832
,        1.916667,         24.4657,         26.8121,         41.5203,          0.8282,         39.7859,         39.7523
,        1.933333,         23.8964,         26.0989,         41.4995,          0.8282,         39.7545,         39.7222
,        1.950000,         23.3518,         25.2989,         41.4797,          0.8277,         39.7242,         39.6939
,        1.966667,         22.8480,         24.6095,         41.4609,          0.8274,         39.6957,         39.6664
,        1.983333,         22.3715,         23.9959,         41.4431,          0.8267,         39.6687,         39.6403
,        2.000000,         21.9466,         23.4220,         41.4266,          0.8263,         39.6432,         39.6156
,        2.016667,         21.5367,         22.8994,         41.4112,          0.8253,         39.6193,         39.5924
,        2.033333,         21.1610,         22.4151,         41.3966,          0.8246,         39.5968,         39.5707
,        2.050000,         20.8133,         21.9668,         41.3829,          0.8239,         39.5758,         39.5503
,        2.066667,         20.4837,         21.5554,         41.3699,          0.8231,         39.5562,         39.5311
,        2.083333,         20.1704,         21.1736,         41.3575,          0.8222,         39.5379,         39.5134
,        2.100000,         19.8578,         20.8084,         41.3454,          0.8208,         39.5207,         39.4964
,        2.116667,         19.5314,         20.4484,         41.3330,          0.8190,         39.5041,         39.4802
,        2.133333,         19.1959,         20.1252,         41.3203,          0.8170,         39.4876,         39.4638
,        2.150000,         18.8683,         19.7917,         41.3072,          0.8162,         39.4730,         39.4494
,        2.166667,         18.5023,         19.4409,         41.2928,          0.8141,         39.4568,         39.4336
,        2.183333,         18.1351,         19.1022,         41.2778,          0.8120,         39.4420,         39.4194
,        2.200000,         17.7538,         18.7475,         41.2619,          0.8099,         39.4251,         39.4029
,        2.216667,         17.3562,         18.3711,         41.2449,          0.8080,         39.4083,         39.3863
,        2.233333,         16.9735,         17.9860,         41.2269,          0.8074,         39.3913,         39.3695
,        2.250000,         16.5756,         17.6001,         41.2088,          0.8058,         39.3733,         39.3524
,        2.266667,         16.1755,         17.2345,         41.1901,          0.8042,         39.3552,         39.3346
,        2.283333,         15.7949,         16.8114,         41.1714,          0.8027,         39.3357,         39.3162
,        2.300000,         15.4396,         16.4201,         41.1532,          0.8013,         39.3162,         39.2969
,        2.316667,         15.0373,         16.0362,         41.1342,          0.7977,         39.2967,         39.2776
,        2.333333,         14.7197,         15.6545,         41.1158,          0.7972,         39.2767,         39.2587
,        2.350000,         14.4241,         15.2846,         41.0986,          0.7964,         39.2565,         39.2389
,        2.366667,         14.1412,         14.9569,         41.0825,          0.7949,         39.2367,         39.2194
,        2.383333,         13.8694,         14.6294,         41.0665,          0.7934,         39.2175,         39.2004
,        2.400000,         13.5994,         14.3595,         41.0508,          0.7910,         39.1997,         39.1827
,        2.416667,         13.3318,         14.0867,         41.0346,          0.7887,         39.1823,         39.1657
,        2.433333,         13.0766,         13.7577,         41.0185,          0.7862,         39.1647,         39.1483
,        2.450000,         12.8249,         13.4959,         41.0031,          0.7828,         39.1478,         39.1309
,        2.466667,         12.5796,         13.2201,         40.9876,          0.7793,         39.1320,         39.1141
,        2.483333,         12.3470,         13.0141,         40.9724,          0.7754,         39.1221,         39.0958
,        2.500000,         12.1430,         12.6630,         40.9574,          0.7730,         39.1047,         39.0787
,        2.516667,         11.9322,         12.5090,         40.9434,          0.7689,         39.0899,         39.0638
,        2.533333,         11.7302,         12.2876,         40.9293,          0.7648,         39.0747,         39.0487
,        2.550000,         11.5401,         12.0654,         40.9148,          0.7607,         39.0594,         39.0335
,        2.566667,         11.3830,         11.9026,         40.9024,          0.7572,         39.0442,         39.0193
,        2.583333,         11.1302,         11.6317,         40.8877,          0.7482,         39.0297,         39.0050
,        2.600000,         10.9112,         11.3640,         40.8721,          0.7409,         39.0151,         38.9898
,        2.616667,         10.6866,         11.2451,         40.8566,          0.7340,         39.0029,         38.9741
,        2.633333,         10.4512,         11.0159,         40.8403,          0.7264,         38.9841,         38.9551
,        2.650000,         10.2154,         10.7828,         40.8235,          0.7189,         38.9671,         38.9383
,        2.666667,          9.9910,         10.5591,         40.8068,          0.7120,         38.9500,         38.9213
,        2.683333,          9.7419,         10.2696,         40.7896,          0.7034,         38.9326,         38.9040
,        2.700000,          9.5026,         10.0968,         40.7714,          0.6957,         38.9150,         38.8866
,        2.716667,          9.2791,          9.8007,         40.7538,          0.6886,         38.8972,         38.8689
,        2.733333,          9.0593,          9.6067,         40.7367,          0.6813,         38.8787,         38.8504
,        2.750000,          8.8474,          9.3974,         40.7195,          0.6744,         38.8604,         38.8321
,        2.766667,          8.6317,          9.1850,         40.7025,          0.6669,         38.8415,         38.8128
,        2.783333,          8.3959,          8.9626,         40.6845,          0.6581,         38.8230,         38.7945
,        2.800000,          8.1714,          8.7444,         40.6662,          0.6500,         38.8034,         38.7759
,        2.816667,          7.9524,          8.6157,         40.6480,          0.6421,         38.7848,         38.7546
,        2.833333,          7.7435,          8.3215,         40.6299,          0.6346,         38.7613,         38.7314
,        2.850000,          7.5515,          8.0914,         40.6130,          0.6278,         38.7398,         38.7092
,        2.866667,          7.3784,          7.8872,         40.5968,          0.6219,         38.7193,         38.6878
,        2.883333,          7.1391,          7.7032,         40.5773,          0.6120,         38.6995,         38.6672
,        2.900000,          6.9247,          7.5057,         40.5570,          0.6042,         38.6787,         38.6467
,        2.916667,          6.7037,          7.2881,         40.5364,          0.5959,         38.6578,         38.6250
,        2.933333,          6.4933,          7.0672,         40.5154,          0.5880,         38.6359,         38.6025
,        2.950000,          6.2755,          6.8546,         40.4943,          0.5795,         38.6143,         38.5797
,        2.966667,          6.0626,          6.6916,         40.4732,          0.5706,         38.5954,         38.5578
,        2.983333,          5.8492,          6.4575,         40.4510,          0.5617,         38.5731,         38.5346
,        3.000000,          5.6334,          6.2605,         40.4287,          0.5522,         38.5530,         38.5123

