iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
14800,       3631.806,0.139248,0.138889,0.184494,0.432877,0.300003,99.1305
14900,       3645.694,0.139397,0.138889,0.185394,0.433334,0.300003,99.1326
15000,       3659.583,0.139546,0.138889,0.186203,0.433777,0.300003,99.1343
15100,       3673.535,0.139696,0.139535,0.186935,0.434235,0.300003,99.1373
15200,       3687.488,0.139846,0.139535,0.187592,0.434692,0.299988,99.1399
15300,       3701.442,0.139996,0.139535,0.188202,0.435135,0.299988,99.1421
15400,       3715.395,0.140146,0.139535,0.188766,0.435593,0.299988,99.1439
15500,       3729.393,0.140303,0.140187,0.18927,0.436066,0.300003,99.1464
15600,       3743.411,0.140453,0.140187,0.189713,0.436508,0.300003,99.1491
15700,       3757.430,0.140604,0.140187,0.19014,0.436966,0.300003,99.1514
15800,       3771.449,0.140755,0.140187,0.190536,0.437424,0.299988,99.1532
15900,       3785.493,0.140913,0.140845,0.190948,0.437897,0.300003,99.1553
16000,       3799.577,0.141064,0.140845,0.191345,0.438339,0.300003,99.1581
16100,       3813.662,0.141215,0.140845,0.191757,0.438797,0.299988,99.1604
16200,       3827.746,0.141373,0.140845,0.192154,0.43927,0.300003,99.1624
16300,       3841.839,0.141525,0.141511,0.192535,0.439713,0.299988,99.1641
16400,       3855.990,0.141684,0.141511,0.192902,0.440186,0.300003,99.1669
16500,       3870.141,0.141836,0.141511,0.193222,0.440643,0.299988,99.1693
16600,       3884.292,0.141995,0.141511,0.193558,0.441116,0.300003,99.1713
16700,       3898.444,0.142248,0.141511,0.194016,0.441895,0.299988,99.1728
16800,       3912.661,0.142662,0.142587,0.194717,0.443146,0.300003,99.1751
16900,       3926.920,0.143091,0.142587,0.195435,0.444458,0.299988,99.1774
17000,       3941.179,0.143529,0.142587,0.196167,0.445801,0.300003,99.1785
17100,       3955.437,0.14396,0.142587,0.196884,0.447098,0.299988,99.1786
17200,       3969.797,0.144408,0.144263,0.197586,0.448441,0.299988,99.1801
17300,       3984.226,0.144857,0.144833,0.198288,0.449799,0.299988,99.1822
17400,       3998.710,0.145308,0.144833,0.198975,0.451157,0.299988,99.1845
17500,       4013.193,0.145752,0.144833,0.199646,0.452484,0.299988,99.1857
17600,       4027.736,0.146213,0.14599,0.200348,0.453857,0.300003,99.1873
17700,       4042.356,0.146675,0.146476,0.201035,0.455246,0.299988,99.1896
17800,       4057.003,0.147146,0.146476,0.201752,0.456665,0.299988,99.1915
17900,       4071.651,0.147611,0.146476,0.202454,0.458054,0.299988,99.1922
18000,       4086.355,0.148093,0.147783,0.203171,0.459488,0.299988,99.1931
18100,       4101.166,0.148576,0.148223,0.203873,0.460938,0.299988,99.1955
18200,       4115.988,0.149068,0.148223,0.204575,0.462402,0.300003,99.1969
18300,       4130.810,0.149555,0.148223,0.205261,0.463852,0.299988,99.1972
18400,       4145.688,0.150058,0.150033,0.205963,0.465363,0.299988,99.1976
18500,       4160.692,0.150563,0.150033,0.20665,0.466873,0.299988,99.1998
18600,       4175.747,0.151077,0.150643,0.207352,0.468399,0.299988,99.2021
18700,       4190.811,0.151593,0.150643,0.208054,0.46994,0.299988,99.2033
18800,       4205.924,0.152119,0.151899,0.208771,0.471512,0.299988,99.2044
18900,       4221.138,0.152685,0.152402,0.209518,0.473206,0.299988,99.2067
19000,       4236.378,0.153347,0.152402,0.210388,0.475189,0.299988,99.2081
19100,       4251.618,0.154027,0.152402,0.211288,0.477234,0.299973,99.2079
19200,       4266.945,0.154734,0.154681,0.212204,0.479355,0.299988,99.2082
19300,       4282.428,0.155445,0.155256,0.21312,0.481491,0.299988,99.2104
19400,       4297.954,0.156158,0.155256,0.214035,0.483627,0.299973,99.212
19500,       4313.480,0.156891,0.155256,0.214981,0.485809,0.299988,99.2119
19600,       4329.113,0.157579,0.157545,0.215836,0.487869,0.299988,99.2127
19700,       4344.882,0.158359,0.158191,0.216827,0.490204,0.299988,99.2149
19800,       4360.701,0.159119,0.158191,0.217773,0.492462,0.299973,99.2165
19900,       4376.520,0.159898,0.158191,0.21875,0.494797,0.299988,99.2163
20000,       4392.492,0.160689,0.1605,0.219727,0.497162,0.299988,99.2179
20100,       4408.569,0.161493,0.161186,0.220718,0.499557,0.299988,99.22
20200,       4424.688,0.162308,0.161186,0.221725,0.501984,0.299988,99.2212
20300,       4440.815,0.163136,0.163043,0.222733,0.504456,0.299988,99.2208
20400,       4457.146,0.163985,0.163565,0.22377,0.506989,0.299988,99.2231
20500,       4473.548,0.164839,0.164295,0.224792,0.509537,0.299988,99.2251
20600,       4489.978,0.165705,0.164295,0.225845,0.512115,0.299973,99.2258
20700,       4506.482,0.166635,0.166205,0.226959,0.514893,0.299973,99.2261
20800,       4523.176,0.167836,0.167382,0.228439,0.518509,0.299973,99.2283
20900,       4539.972,0.169105,0.168302,0.229996,0.522324,0.299988,99.2301
21000,       4556.802,0.170392,0.168302,0.231583,0.526184,0.299973,99.2298
21100,       4573.837,0.171523,0.170976,0.232941,0.529556,0.300003,99.2311
21200,       4590.934,0.171873,0.170976,0.233231,0.530502,0.299988,99.2324
21300,       4608.032,0.172258,0.170976,0.233551,0.53157,0.299988,99.2329
21400,       4625.172,0.172662,0.172414,0.233902,0.532684,0.300003,99.2335
21500,       4642.414,0.173076,0.172414,0.234268,0.533813,0.299988,99.2353
21600,       4659.655,0.173517,0.172414,0.23465,0.535034,0.300003,99.2363
21700,       4676.897,0.173968,0.172414,0.235046,0.536285,0.300003,99.2363
21800,       4694.261,0.17443,0.173913,0.235458,0.537567,0.299988,99.2379
21900,       4711.652,0.174919,0.173913,0.235886,0.538925,0.299988,99.2391
22000,       4729.043,0.175427,0.173913,0.236343,0.540344,0.299988,99.2393
